Date,Time,TTF,Lat,Long,X,Y,Temp
2012-06-10,00:15:00,30,62.898172,8.24123,15,10.0,8.0
2012-06-10,00:45:00,43,62.898212,8.241328,0,1.0,8.0
2012-06-10,01:15:00,30,62.89744,8.239787,0,0.0,8.0
2012-06-10,01:45:00,30,62.898153,8.241322,11,3.0,8.0
2012-06-10,02:15:00,43,62.898205,8.24115,0,0.0,7.0
2012-06-10,02:45:00,30,62.897348,8.242078,3,3.0,7.0
2012-06-10,03:15:00,30,62.89714,8.242762,8,8.0,7.0
2012-06-10,03:45:00,30,62.897268,8.242827,1,2.0,7.0
2012-06-10,04:15:00,43,62.897335,8.242818,1,0.0,6.0
2012-06-10,04:45:00,30,62.895908,8.245067,18,10.0,6.0
2012-06-10,05:15:00,30,62.895027,8.24608,2,1.0,7.0
2012-06-10,05:45:00,30,62.895072,8.246063,0,0.0,9.0
2012-06-10,06:15:00,43,62.895063,8.24607,2,3.0,9.0
2012-06-10,06:45:00,30,62.894985,8.246147,0,0.0,9.0
2012-06-10,07:15:00,30,62.896663,8.243577,16,15.0,9.0
2012-06-10,07:45:00,43,62.89734,8.241752,27,27.0,9.0
2012-06-10,08:15:00,30,62.897995,8.2411,17,9.0,9.0
2012-06-10,08:45:00,43,62.898075,8.239682,23,17.0,10.0
2012-06-10,09:15:00,30,62.895957,8.244483,18,9.0,9.0
2012-06-10,09:45:00,63,62.89179,8.245068,45,41.0,11.0
2012-06-10,10:15:00,63,62.891877,8.245157,4,5.0,10.0
2012-06-10,10:45:00,30,62.892065,8.244575,1,0.0,9.0
2012-06-10,11:15:00,43,62.891928,8.245348,1,0.0,10.0
2012-06-10,11:45:00,30,62.892062,8.245825,12,11.0,10.0
2012-06-10,12:15:00,30,62.891485,8.244305,24,16.0,11.0
2012-06-10,12:45:00,30,62.891748,8.245453,0,0.0,11.0
2012-06-10,13:15:00,43,62.891738,8.245343,0,0.0,13.0
2012-06-10,13:45:00,30,62.89181,8.245032,14,8.0,15.0
2012-06-10,14:15:00,30,62.891658,8.244915,19,11.0,12.0
2012-06-10,14:45:00,37,62.887513,8.234013,25,15.0,12.0
2012-06-10,15:15:00,30,62.88846,8.233953,18,10.0,12.0
2012-06-10,15:45:00,30,62.888598,8.236782,13,10.0,11.0
2012-06-10,16:15:00,48,62.887802,8.237015,3,5.0,13.0
2012-06-10,16:45:00,40,62.8891,8.24101,19,14.0,12.0
2012-06-10,17:15:00,30,62.891938,8.245617,5,3.0,11.0
2012-06-10,17:45:00,30,62.89231,8.247778,0,0.0,11.0
2012-06-10,18:15:00,43,62.892333,8.24734,2,0.0,11.0
2012-06-10,18:45:00,30,62.892345,8.247277,0,0.0,9.0
2012-06-10,19:15:00,30,62.891853,8.24485,13,5.0,9.0
2012-06-10,19:45:00,43,62.892012,8.245185,24,20.0,9.0
2012-06-10,20:15:00,30,62.89236,8.247268,10,6.0,8.0
2012-06-10,20:45:00,44,62.8934,8.252285,29,24.0,8.0
2012-06-10,21:15:00,30,62.89412,8.256087,5,2.0,7.0
2012-06-10,21:45:00,30,62.894195,8.256,1,0.0,5.0
2012-06-10,22:15:00,45,62.894497,8.256507,28,18.0,4.0
2012-06-10,22:45:00,40,62.897568,8.253632,33,28.0,5.0
2012-06-10,23:15:00,30,62.897657,8.25365,19,18.0,7.0
2012-06-10,23:45:00,30,62.897687,8.253552,7,5.0,7.0
2012-06-11,00:15:00,43,62.897647,8.253663,1,0.0,8.0
2012-06-11,00:45:00,30,62.89764,8.253602,1,0.0,9.0
2012-06-11,01:15:00,30,62.89765,8.253643,10,7.0,9.0
2012-06-11,01:45:00,30,62.897698,8.253512,8,4.0,9.0
2012-06-11,02:15:00,43,62.900722,8.248147,30,16.0,5.0
2012-06-11,02:45:00,30,62.899073,8.250292,11,6.0,6.0
2012-06-11,03:15:00,30,62.898782,8.250483,1,1.0,6.0
2012-06-11,03:45:00,44,62.898927,8.250747,0,0.0,7.0
2012-06-11,04:15:00,30,62.898932,8.250762,1,0.0,10.0
2012-06-11,04:45:00,30,62.898545,8.250635,1,0.0,15.0
2012-06-11,05:15:00,30,62.898807,8.250508,11,4.0,10.0
2012-06-11,05:45:00,43,62.899825,8.248792,7,2.0,9.0
2012-06-11,06:15:00,30,62.901792,8.245563,18,12.0,9.0
2012-06-11,06:45:00,30,62.901718,8.24568,0,0.0,9.0
2012-06-11,07:15:00,30,62.90183,8.245508,0,0.0,11.0
2012-06-11,07:45:00,43,62.901815,8.245733,27,22.0,11.0
2012-06-11,08:15:00,43,62.90174,8.245737,1,0.0,10.0
