Date,Time,TTF,Lat,Long,X,Y,Temp
2013-06-16,00:15:00,30,62.989515,8.225238,0.0,0.0,15.0
2013-06-16,00:45:00,43,62.989427,8.225148,1.0,0.0,14.0
2013-06-16,01:15:00,30,62.989538,8.225288,0.0,0.0,15.0
2013-06-16,01:45:00,30,62.98954,8.225282,0.0,0.0,15.0
2013-06-16,02:15:00,30,62.9902,8.22494,0.0,0.0,15.0
2013-06-16,02:45:00,30,62.989595,8.225023,0.0,4.0,15.0
2013-06-16,03:15:00,30,62.988652,8.22548,2.0,5.0,15.0
2013-06-16,03:45:00,42,62.989488,8.225078,4.0,6.0,14.0
2013-06-16,04:15:00,30,62.989635,8.225675,22.0,20.0,13.0
2013-06-16,04:45:00,31,62.989762,8.227448,22.0,15.0,11.0
2013-06-16,05:15:00,30,62.989628,8.227535,13.0,7.0,11.0
2013-06-16,05:45:00,30,62.989173,8.22642,4.0,5.0,13.0
2013-06-16,06:15:00,Time Out,47.0,28.0,0.0,,
2013-06-16,06:45:00,69,62.98881,8.226408,45.0,27.0,14.0
2013-06-16,07:15:00,30,62.988897,8.226973,15.0,11.0,14.0
2013-06-16,07:45:00,43,62.98868,8.2255,0.0,3.0,16.0
2013-06-16,08:15:00,30,62.988833,8.225775,1.0,6.0,19.0
2013-06-16,08:45:00,30,62.988167,8.225923,1.0,2.0,19.0
2013-06-16,09:15:00,42,62.987958,8.227125,19.0,9.0,20.0
2013-06-16,09:45:00,87,62.98968,8.227408,42.0,33.0,19.0
2013-06-16,10:15:00,75,62.989693,8.22692,56.0,40.0,20.0
2013-06-16,10:45:00,64,62.98939,8.223537,28.0,29.0,21.0
2013-06-16,11:15:00,32,62.989602,8.223268,18.0,18.0,21.0
2013-06-16,11:45:00,43,62.989637,8.223337,5.0,6.0,22.0
2013-06-16,12:15:00,43,62.989715,8.223363,2.0,2.0,22.0
2013-06-16,12:45:00,43,62.989883,8.22461,0.0,0.0,23.0
2013-06-16,13:15:00,30,62.989913,8.224603,2.0,0.0,26.0
2013-06-16,13:45:00,30,62.990192,8.225673,14.0,14.0,23.0
2013-06-16,14:15:00,30,62.99016,8.225165,14.0,16.0,22.0
2013-06-16,14:45:00,30,62.990227,8.22492,14.0,8.0,18.0
2013-06-16,15:15:00,30,62.990087,8.224855,13.0,16.0,18.0
2013-06-16,15:45:00,69,62.99027,8.224323,50.0,30.0,17.0
2013-06-16,16:15:00,30,62.990453,8.22431,15.0,9.0,18.0
2013-06-16,16:45:00,34,62.990272,8.223878,13.0,10.0,17.0
2013-06-16,17:15:00,30,62.990153,8.223975,0.0,0.0,19.0
