Date,Time,TTF,Lat,Long,X,Y,Temp
2014-06-25,00:15:00,30,62.988285,8.226527,0.0,0.0,17.0
2014-06-25,00:45:00,61,62.988252,8.22646,24.0,17.0,17.0
2014-06-25,01:15:00,30,62.988288,8.227725,18.0,15.0,9.0
2014-06-25,01:45:00,65,62.988583,8.228102,34.0,19.0,8.0
2014-06-25,02:15:00,45,62.988275,8.228247,0.0,0.0,10.0
2014-06-25,02:45:00,30,62.988337,8.228348,0.0,0.0,11.0
2014-06-25,03:15:00,30,62.987952,8.229458,13.0,12.0,9.0
2014-06-25,03:45:00,30,62.988105,8.22857,13.0,10.0,9.0
2014-06-25,04:15:00,63,62.987927,8.228837,2.0,3.0,9.0
2014-06-25,04:45:00,30,62.987725,8.229225,0.0,0.0,13.0
2014-06-25,05:15:00,30,62.988058,8.227425,5.0,8.0,13.0
2014-06-25,05:45:00,33,62.988405,8.227322,20.0,15.0,11.0
2014-06-25,06:15:00,30,62.988033,8.227495,0.0,1.0,17.0
2014-06-25,06:45:00,30,62.988145,8.227355,0.0,0.0,24.0
2014-06-25,07:15:00,30,62.988123,8.228375,20.0,13.0,16.0
2014-06-25,07:45:00,Time Out,26.0,38.0,0.0,,
2014-06-25,08:15:00,47,62.987223,8.229093,0.0,0.0,15.0
2014-06-25,08:45:00,30,62.986852,8.230125,0.0,0.0,17.0
2014-06-25,09:15:00,30,62.987297,8.228458,0.0,0.0,18.0
2014-06-25,09:45:00,30,62.987508,8.230133,8.0,7.0,18.0
2014-06-25,10:15:00,80,62.987717,8.23414,39.0,35.0,17.0
2014-06-25,10:45:00,Time Out,65.0,56.0,0.0,,
2014-06-25,11:15:00,45,62.985057,8.229462,38.0,27.0,16.0
2014-06-25,11:45:00,30,62.985788,8.232937,11.0,9.0,20.0
2014-06-25,12:15:00,30,62.986177,8.234592,1.0,1.0,17.0
2014-06-25,12:45:00,30,62.986167,8.236157,16.0,13.0,18.0
2014-06-25,13:15:00,45,62.98616,8.235388,29.0,20.0,17.0
2014-06-25,13:45:00,30,62.986008,8.234615,0.0,0.0,22.0
2014-06-25,14:15:00,44,62.985735,8.233695,26.0,25.0,19.0
2014-06-25,14:45:00,30,62.985978,8.234265,13.0,6.0,17.0
2014-06-25,15:15:00,37,62.986105,8.235092,0.0,0.0,18.0
2014-06-25,15:45:00,30,62.986308,8.236217,19.0,17.0,17.0
2014-06-25,16:15:00,45,62.98597,8.236188,0.0,0.0,19.0
2014-06-25,16:45:00,30,62.985192,8.231283,21.0,12.0,15.0
2014-06-25,17:15:00,30,62.984735,8.231045,19.0,13.0,13.0
2014-06-25,17:45:00,63,62.986685,8.239867,16.0,4.0,13.0
2014-06-25,18:15:00,30,62.986967,8.240292,3.0,1.0,16.0
2014-06-25,18:45:00,45,62.986952,8.240423,0.0,0.0,18.0
2014-06-25,19:15:00,30,62.9872,8.240202,22.0,15.0,15.0
2014-06-25,19:45:00,30,62.987058,8.241752,21.0,14.0,11.0
2014-06-25,20:15:00,30,62.986775,8.240525,8.0,5.0,13.0
2014-06-25,20:45:00,30,62.987057,8.240602,18.0,11.0,13.0
2014-06-25,21:15:00,30,62.987073,8.24041,21.0,17.0,11.0
2014-06-25,21:45:00,88,62.98697,8.239703,62.0,45.0,9.0
2014-06-25,22:15:00,45,62.986973,8.239977,2.0,0.0,15.0
2014-06-25,22:45:00,30,62.987195,8.239888,10.0,7.0,19.0
2014-06-25,23:15:00,30,62.986912,8.240663,20.0,17.0,11.0
2014-06-25,23:45:00,45,62.986755,8.239945,0.0,1.0,11.0
2014-06-26,00:15:00,30,62.986628,8.239995,0.0,0.0,14.0
2014-06-26,00:45:00,30,62.98659,8.239818,0.0,0.0,16.0
2014-06-26,01:15:00,30,62.98648,8.239933,0.0,0.0,16.0
2014-06-26,01:45:00,30,62.986453,8.240003,0.0,0.0,16.0
2014-06-26,02:15:00,45,62.98655,8.239907,0.0,0.0,16.0
2014-06-26,02:45:00,30,62.986942,8.241078,21.0,19.0,12.0
2014-06-26,03:15:00,30,62.986783,8.240623,19.0,10.0,11.0
2014-06-26,03:45:00,30,62.987652,8.239887,24.0,6.0,10.0
2014-06-26,04:15:00,45,62.98689,8.239952,0.0,0.0,12.0
2014-06-26,04:45:00,30,62.985925,8.241718,8.0,6.0,13.0
2014-06-26,05:15:00,30,62.985747,8.244157,15.0,13.0,12.0
2014-06-26,05:45:00,42,62.986942,8.240483,18.0,9.0,15.0
2014-06-26,06:15:00,30,62.986933,8.239945,12.0,12.0,12.0
2014-06-26,06:45:00,30,62.986728,8.240382,0.0,1.0,17.0
2014-06-26,07:15:00,30,62.986875,8.239788,18.0,14.0,16.0
2014-06-26,07:45:00,45,62.986938,8.239755,0.0,0.0,20.0
2014-06-26,08:15:00,30,62.98662,8.239765,0.0,0.0,21.0
2014-06-26,08:45:00,30,62.986698,8.23985,0.0,0.0,20.0
2014-06-26,09:15:00,30,62.987053,8.240368,17.0,17.0,16.0
2014-06-26,09:45:00,32,62.98674,8.239963,13.0,13.0,15.0
2014-06-26,10:15:00,69,62.986547,8.240155,20.0,10.0,19.0
2014-06-26,10:45:00,30,62.986938,8.240553,5.0,0.0,19.0
2014-06-26,11:15:00,30,62.986012,8.240617,22.0,16.0,17.0
2014-06-26,11:45:00,30,62.986915,8.242115,12.0,8.0,22.0
2014-06-26,12:15:00,45,62.987153,8.240343,28.0,20.0,21.0
2014-06-26,12:45:00,41,62.987068,8.24007,0.0,0.0,20.0
2014-06-26,13:15:00,47,62.98669,8.240665,0.0,0.0,20.0
2014-06-26,13:45:00,45,62.986922,8.240157,10.0,5.0,20.0
2014-06-26,14:15:00,30,62.986658,8.23971,16.0,11.0,15.0
2014-06-26,14:45:00,45,62.986747,8.239565,0.0,2.0,17.0
2014-06-26,15:15:00,30,62.986763,8.240358,0.0,0.0,17.0
2014-06-26,15:45:00,33,62.986815,8.240477,4.0,2.0,17.0
2014-06-26,16:15:00,45,62.986395,8.241453,22.0,20.0,14.0
2014-06-26,16:45:00,45,62.98714,8.240528,29.0,20.0,14.0
2014-06-26,17:15:00,30,62.987048,8.240612,19.0,10.0,14.0
2014-06-26,17:45:00,52,62.986773,8.239992,26.0,12.0,13.0
2014-06-26,18:15:00,45,62.987067,8.240045,0.0,0.0,16.0
2014-06-26,18:45:00,30,62.986572,8.239867,0.0,0.0,15.0
2014-06-26,19:15:00,30,62.986587,8.239815,1.0,2.0,18.0
2014-06-26,19:45:00,30,62.987095,8.240547,21.0,19.0,11.0
2014-06-26,20:15:00,45,62.986687,8.239283,29.0,24.0,11.0
2014-06-26,20:45:00,30,62.98681,8.240755,18.0,12.0,11.0
2014-06-26,21:15:00,43,62.98691,8.240313,19.0,14.0,10.0
2014-06-26,21:45:00,45,62.986548,8.239835,0.0,0.0,15.0
2014-06-26,22:15:00,44,62.987172,8.240377,27.0,16.0,11.0
2014-06-26,22:45:00,30,62.987047,8.240207,20.0,9.0,9.0
2014-06-26,23:15:00,52,62.986707,8.240162,11.0,5.0,12.0
2014-06-26,23:45:00,52,62.986847,8.240278,0.0,0.0,12.0
2014-06-27,00:15:00,30,62.986823,8.240165,5.0,4.0,13.0
2014-06-27,00:45:00,30,62.98708,8.240218,0.0,0.0,15.0
2014-06-27,01:15:00,75,62.98678,8.240367,0.0,0.0,14.0
2014-06-27,01:45:00,30,62.986938,8.240488,0.0,1.0,19.0
2014-06-27,02:15:00,45,62.986682,8.240322,0.0,0.0,21.0
2014-06-27,02:45:00,30,62.986762,8.24029,0.0,0.0,20.0
2014-06-27,03:15:00,30,62.987097,8.240335,16.0,21.0,13.0
2014-06-27,03:45:00,30,62.986852,8.240207,19.0,12.0,11.0
2014-06-27,04:15:00,45,62.986907,8.24007,33.0,18.0,14.0
2014-06-27,04:45:00,30,62.987062,8.240505,17.0,10.0,14.0
2014-06-27,05:15:00,37,62.986802,8.239553,14.0,3.0,14.0
2014-06-27,05:45:00,45,62.986615,8.23989,0.0,0.0,17.0
2014-06-27,06:15:00,30,62.986622,8.240025,5.0,3.0,18.0
2014-06-27,06:45:00,30,62.986565,8.241743,13.0,12.0,18.0
2014-06-27,07:15:00,30,62.986827,8.240537,14.0,9.0,20.0
2014-06-27,07:45:00,30,62.982705,8.246823,7.0,5.0,19.0
2014-06-27,08:15:00,45,62.98662,8.239977,0.0,0.0,22.0
2014-06-27,08:45:00,30,62.986642,8.239933,0.0,0.0,22.0
2014-06-27,09:15:00,30,62.986602,8.239737,0.0,2.0,20.0
2014-06-27,09:45:00,42,62.986683,8.23995,0.0,0.0,19.0
2014-06-27,10:15:00,30,62.987072,8.240062,17.0,16.0,19.0
2014-06-27,10:45:00,50,62.987053,8.240343,34.0,20.0,24.0
2014-06-27,11:15:00,45,62.986795,8.239987,0.0,0.0,21.0
2014-06-27,11:45:00,30,62.986885,8.24016,20.0,12.0,20.0
2014-06-27,12:15:00,45,62.986892,8.24073,22.0,24.0,25.0
2014-06-27,12:45:00,30,62.986863,8.240083,0.0,1.0,20.0
2014-06-27,13:15:00,30,62.98681,8.240213,0.0,0.0,24.0
2014-06-27,13:45:00,45,62.987128,8.240243,29.0,21.0,23.0
2014-06-27,14:15:00,30,62.986845,8.239723,20.0,15.0,22.0
2014-06-27,14:45:00,30,62.986658,8.239775,3.0,0.0,21.0
2014-06-27,15:15:00,30,62.98692,8.239923,18.0,11.0,21.0
2014-06-27,15:45:00,61,62.987,8.239827,38.0,27.0,21.0
2014-06-27,16:15:00,45,62.986708,8.240055,0.0,0.0,22.0
2014-06-27,16:45:00,62,62.98715,8.24035,24.0,23.0,25.0
2014-06-27,17:15:00,45,62.987117,8.240117,31.0,18.0,20.0
2014-06-27,17:45:00,62,62.986805,8.239845,31.0,27.0,18.0
2014-06-27,18:15:00,62,62.986208,8.241198,27.0,21.0,19.0
2014-06-27,18:45:00,45,62.98664,8.239908,1.0,0.0,19.0
2014-06-27,19:15:00,30,62.986925,8.240423,23.0,8.0,16.0
2014-06-27,19:45:00,30,62.987025,8.24017,8.0,8.0,15.0
2014-06-27,20:15:00,30,62.986675,8.239317,1.0,0.0,15.0
2014-06-27,20:45:00,35,62.987025,8.240985,22.0,24.0,13.0
2014-06-27,21:15:00,30,62.986935,8.241173,18.0,12.0,14.0
2014-06-27,21:45:00,30,62.986753,8.239577,14.0,9.0,12.0
2014-06-27,22:15:00,45,62.986908,8.239907,0.0,0.0,16.0
2014-06-27,22:45:00,30,62.986867,8.239882,2.0,1.0,17.0
2014-06-27,23:15:00,30,62.986933,8.239862,0.0,0.0,21.0
2014-06-27,23:45:00,30,62.987005,8.240002,0.0,0.0,20.0
2014-06-28,00:15:00,30,62.986822,8.24021,0.0,0.0,19.0
2014-06-28,00:45:00,45,62.986977,8.239847,0.0,0.0,21.0
2014-06-28,01:15:00,30,62.986977,8.240875,18.0,12.0,12.0
2014-06-28,01:45:00,30,62.986973,8.24093,16.0,15.0,8.0
2014-06-28,02:15:00,30,62.986752,8.240117,6.0,1.0,9.0
2014-06-28,02:45:00,30,62.986172,8.240645,0.0,0.0,14.0
2014-06-28,03:15:00,45,62.986745,8.240235,0.0,0.0,18.0
2014-06-28,03:45:00,30,62.986717,8.240117,2.0,1.0,21.0
2014-06-28,04:15:00,44,62.987043,8.23991,27.0,9.0,19.0
2014-06-28,04:45:00,30,62.986152,8.241437,6.0,8.0,16.0
2014-06-28,05:15:00,30,62.986523,8.2408,9.0,11.0,17.0
2014-06-28,05:45:00,30,62.989543,8.231523,15.0,11.0,18.0
2014-06-28,06:15:00,34,62.988222,8.234252,24.0,15.0,14.0
2014-06-28,06:45:00,45,62.986705,8.24008,0.0,1.0,18.0
2014-06-28,07:15:00,30,62.986635,8.240228,0.0,0.0,18.0
2014-06-28,07:45:00,30,62.985968,8.238667,20.0,7.0,16.0
2014-06-28,08:15:00,45,62.986547,8.240043,1.0,1.0,18.0
2014-06-28,08:45:00,30,62.986692,8.239875,0.0,0.0,20.0
2014-06-28,09:15:00,33,62.986478,8.239433,0.0,1.0,22.0
2014-06-28,09:45:00,38,62.986823,8.240338,22.0,12.0,24.0
2014-06-28,10:15:00,46,62.98697,8.240192,35.0,24.0,24.0
2014-06-28,10:45:00,40,62.986658,8.240117,0.0,1.0,23.0
2014-06-28,11:15:00,45,62.98662,8.240022,0.0,0.0,23.0
2014-06-28,11:45:00,30,62.98669,8.239922,0.0,1.0,23.0
2014-06-28,12:15:00,30,62.986737,8.240138,0.0,4.0,23.0
2014-06-28,12:45:00,30,62.987078,8.240247,21.0,21.0,23.0
2014-06-28,13:15:00,45,62.986913,8.240365,32.0,27.0,23.0
2014-06-28,13:45:00,33,62.986603,8.239712,1.0,1.0,23.0
2014-06-28,14:15:00,44,62.986632,8.239858,3.0,3.0,25.0
2014-06-28,14:45:00,30,62.987077,8.240233,17.0,10.0,24.0
2014-06-28,15:15:00,57,62.98694,8.239872,40.0,27.0,20.0
2014-06-28,15:45:00,62,62.98697,8.24039,31.0,29.0,24.0
2014-06-28,16:15:00,55,62.986778,8.240253,0.0,1.0,21.0
2014-06-28,16:45:00,30,62.98663,8.240157,6.0,4.0,21.0
2014-06-28,17:15:00,30,62.986767,8.23991,18.0,9.0,18.0
2014-06-28,17:45:00,46,62.987032,8.24065,8.0,0.0,19.0
2014-06-28,18:15:00,30,62.98707,8.24045,21.0,13.0,22.0
2014-06-28,18:45:00,30,62.986938,8.24043,13.0,12.0,18.0
2014-06-28,19:15:00,30,62.986913,8.240788,21.0,13.0,17.0
2014-06-28,19:45:00,30,62.986835,8.24085,18.0,12.0,14.0
2014-06-28,20:15:00,Time Out,0.0,1.0,0.0,,
2014-06-28,20:45:00,46,62.986682,8.240165,0.0,0.0,19.0
2014-06-28,21:15:00,30,62.986738,8.240685,11.0,8.0,19.0
2014-06-28,21:45:00,45,62.98725,8.240465,29.0,21.0,11.0
2014-06-28,22:15:00,30,62.986915,8.240203,18.0,13.0,9.0
2014-06-28,22:45:00,46,62.986448,8.23976,2.0,0.0,11.0
2014-06-28,23:15:00,30,62.986465,8.23945,0.0,0.0,15.0
2014-06-28,23:45:00,30,62.986562,8.240123,10.0,4.0,17.0
2014-06-29,00:15:00,46,62.986513,8.239845,0.0,1.0,16.0
2014-06-29,00:45:00,37,62.986572,8.239902,0.0,0.0,16.0
2014-06-29,01:15:00,30,62.986565,8.240118,0.0,0.0,16.0
2014-06-29,01:45:00,46,62.986667,8.240068,2.0,3.0,17.0
2014-06-29,02:15:00,30,62.98703,8.240963,1.0,1.0,16.0
2014-06-29,02:45:00,30,62.987068,8.240087,14.0,10.0,9.0
2014-06-29,03:15:00,46,62.986972,8.240645,30.0,22.0,7.0
2014-06-29,03:45:00,30,62.986977,8.240105,23.0,16.0,7.0
2014-06-29,04:15:00,46,62.987092,8.239915,0.0,0.0,13.0
2014-06-29,04:45:00,30,62.987068,8.240375,17.0,7.0,20.0
2014-06-29,05:15:00,30,62.986872,8.240625,16.0,13.0,15.0
2014-06-29,05:45:00,46,62.986848,8.240088,19.0,11.0,15.0
2014-06-29,06:15:00,30,62.987082,8.24018,0.0,1.0,15.0
2014-06-29,06:45:00,30,62.987547,8.239992,20.0,15.0,16.0
2014-06-29,07:15:00,30,62.986508,8.240592,24.0,16.0,16.0
2014-06-29,07:45:00,46,62.986983,8.240087,0.0,0.0,21.0
2014-06-29,08:15:00,46,62.986675,8.239955,0.0,0.0,24.0
2014-06-29,08:45:00,30,62.986707,8.24004,0.0,0.0,26.0
2014-06-29,09:15:00,30,62.987022,8.240463,21.0,18.0,24.0
2014-06-29,09:45:00,30,62.986727,8.240085,18.0,12.0,21.0
2014-06-29,10:15:00,30,62.986772,8.240133,1.0,2.0,21.0
2014-06-29,10:45:00,45,62.987077,8.240333,31.0,23.0,20.0
2014-06-29,11:15:00,30,62.98688,8.240808,21.0,15.0,22.0
2014-06-29,11:45:00,30,62.986593,8.239948,1.0,1.0,19.0
2014-06-29,12:15:00,48,62.986468,8.240033,0.0,2.0,24.0
2014-06-29,12:45:00,62,62.986887,8.240688,45.0,33.0,21.0
2014-06-29,13:15:00,46,62.986988,8.240248,32.0,23.0,17.0
2014-06-29,13:45:00,30,62.986972,8.240378,16.0,8.0,18.0
2014-06-29,14:15:00,30,62.986718,8.239807,1.0,1.0,20.0
2014-06-29,14:45:00,46,62.98653,8.239863,0.0,0.0,22.0
2014-06-29,15:15:00,30,62.986592,8.23958,0.0,1.0,24.0
2014-06-29,15:45:00,30,62.986922,8.240663,18.0,15.0,21.0
2014-06-29,16:15:00,81,62.986788,8.240093,51.0,45.0,19.0
2014-06-29,16:45:00,30,62.986802,8.24014,11.0,9.0,20.0
2014-06-29,17:15:00,76,62.9871,8.240355,35.0,31.0,19.0
2014-06-29,17:45:00,30,62.986562,8.239808,0.0,0.0,17.0
2014-06-29,18:15:00,30,62.98728,8.23843,0.0,0.0,21.0
2014-06-29,18:45:00,30,62.986997,8.240663,21.0,13.0,16.0
2014-06-29,19:15:00,45,62.986898,8.240888,15.0,9.0,15.0
2014-06-29,19:45:00,30,62.986977,8.240608,24.0,17.0,14.0
2014-06-29,20:15:00,30,62.98695,8.240185,21.0,16.0,13.0
2014-06-29,20:45:00,83,62.986938,8.240117,13.0,12.0,14.0
2014-06-29,21:15:00,30,62.98703,8.240985,5.0,8.0,13.0
2014-06-29,21:45:00,46,62.987063,8.240893,33.0,25.0,12.0
2014-06-29,22:15:00,30,62.987028,8.240052,5.0,3.0,12.0
2014-06-29,22:45:00,46,62.986617,8.240022,1.0,0.0,16.0
2014-06-29,23:15:00,30,62.986547,8.240088,0.0,0.0,18.0
2014-06-29,23:45:00,36,62.986658,8.239743,6.0,10.0,19.0
2014-06-30,00:15:00,30,62.986635,8.24002,0.0,0.0,17.0
2014-06-30,00:45:00,30,62.986625,8.239982,0.0,0.0,15.0
2014-06-30,01:15:00,30,62.986673,8.239983,0.0,0.0,16.0
2014-06-30,01:45:00,45,62.98636,8.239623,0.0,0.0,15.0
2014-06-30,02:15:00,30,62.986647,8.240013,4.0,2.0,18.0
2014-06-30,02:45:00,30,62.986675,8.239877,0.0,0.0,19.0
2014-06-30,03:15:00,45,62.986643,8.239978,0.0,1.0,18.0
2014-06-30,03:45:00,30,62.986858,8.240667,14.0,10.0,12.0
2014-06-30,04:15:00,30,62.98714,8.241942,15.0,15.0,15.0
2014-06-30,04:45:00,30,62.986777,8.24078,14.0,9.0,16.0
2014-06-30,05:15:00,30,62.986792,8.240552,2.0,2.0,17.0
2014-06-30,05:45:00,45,62.987013,8.240537,29.0,20.0,16.0
2014-06-30,06:15:00,45,62.986835,8.240373,20.0,14.0,15.0
