Date,Time,TTF,Lat,Long,2D3D,Alt,DOP,SVs,FOM,X,Y,Temp,Bat,Status,SCap,GPS,GSM
2015-06-13,00:15:00,30,62.903117,8.223578,3D,385,1.5,6,0.0,0.0,0.0,11.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,00:45:00,43,62.902998,8.223463,3D,403,1.9,4,0.0,2.0,2.0,14.0,614.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,01:15:00,30,62.902775,8.22331,3D,446,1.8,4,0.0,0.0,0.0,13.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-13,01:45:00,46,62.902182,8.225388,3D,426,2.6,4,0.0,14.0,11.0,10.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-13,02:15:00,44,62.901428,8.226185,3D,409,3.2,5,0.0,10.0,5.0,7.0,612.0,1000010.0,0.0,1.0,0.0
2015-06-13,02:45:00,30,62.901593,8.226138,3D,388,3.7,4,0.0,1.0,0.0,9.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,03:15:00,30,62.901663,8.226087,3D,396,4.2,4,0.0,1.0,0.0,11.0,615.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,03:45:00,43,62.898993,8.223367,3D,376,3.6,5,0.0,17.0,8.0,9.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-13,04:15:00,44,62.898343,8.223873,3D,386,1.1,6,0.0,8.0,0.0,8.0,612.0,1000010.0,0.0,1.0,0.0
2015-06-13,04:45:00,30,62.898493,8.223843,3D,405,1.6,5,0.0,0.0,0.0,13.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-13,05:15:00,43,62.898277,8.223928,3D,413,1.6,5,0.0,0.0,0.0,16.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-13,05:45:00,30,62.898372,8.223908,3D,397,1.4,5,0.0,2.0,0.0,16.0,617.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,06:15:00,45,62.89868,8.223573,3D,386,1.9,5,0.0,18.0,6.0,14.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-13,06:45:00,30,62.89861,8.223577,3D,395,1.5,5,0.0,19.0,3.0,9.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-13,07:15:00,40,62.898315,8.224027,3D,392,1.0,8,0.0,0.0,0.0,12.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,07:45:00,30,62.89842,8.224048,3D,393,1.5,6,0.0,0.0,0.0,15.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-13,08:15:00,30,62.89838,8.224048,3D,397,1.3,5,0.0,6.0,0.0,13.0,616.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,08:45:00,30,62.898212,8.224418,3D,348,1.4,4,0.0,1.0,0.0,17.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-13,09:15:00,30,62.898423,8.224032,3D,397,1.2,4,0.0,0.0,0.0,17.0,617.0,1000010.0,0.0,1.0,0.0
2015-06-13,09:45:00,58,62.898287,8.224217,3D,374,1.1,6,0.0,3.0,0.0,13.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-13,10:15:00,30,62.898415,8.22367,3D,384,3.1,5,0.0,10.0,4.0,12.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,10:45:00,30,62.898562,8.22357,3D,387,2.9,4,0.0,13.0,3.0,10.0,613.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,11:15:00,43,62.898542,8.223853,3D,392,3.6,4,0.0,11.0,5.0,11.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-13,11:45:00,63,62.898497,8.223945,3D,408,1.4,5,0.0,0.0,0.0,13.0,612.0,1000010.0,0.0,1.0,0.0
2015-06-13,12:15:00,30,62.89903,8.224302,3D,337,2.7,4,0.0,0.0,0.0,17.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-13,12:45:00,74,62.898437,8.224043,3D,388,1.6,5,0.0,0.0,0.0,18.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,13:15:00,30,62.898773,8.223728,3D,375,1.8,4,0.0,13.0,13.0,14.0,616.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,13:45:00,30,62.898703,8.22396,3D,370,2.0,4,0.0,10.0,2.0,11.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,14:15:00,73,62.897975,8.225418,3D,423,1.7,5,0.0,28.0,10.0,13.0,612.0,1000010.0,0.0,1.0,0.0
2015-06-13,14:45:00,30,62.897347,8.225462,3D,407,1.8,4,0.0,8.0,4.0,10.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,15:15:00,30,62.897252,8.225725,3D,421,1.5,4,0.0,5.0,0.0,9.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,15:45:00,43,62.897208,8.226157,3D,381,1.3,5,0.0,0.0,0.0,12.0,613.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,16:15:00,30,62.897182,8.226103,3D,430,1.5,4,0.0,0.0,0.0,17.0,617.0,1000010.0,0.0,1.0,0.0
2015-06-13,16:45:00,43,62.897247,8.22617,3D,416,1.6,4,0.0,0.0,0.0,19.0,617.0,1000010.0,0.0,1.0,0.0
2015-06-13,17:15:00,62,62.89724,8.226203,3D,411,1.4,5,0.0,1.0,0.0,22.0,617.0,1000010.0,0.0,1.0,0.0
2015-06-13,17:45:00,30,62.897087,8.22621,3D,406,2.5,5,0.0,6.0,3.0,19.0,619.0,1000010.0,0.0,1.0,0.0
2015-06-13,18:15:00,41,62.896985,8.226002,3D,415,1.1,7,0.0,17.0,3.0,10.0,614.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,18:45:00,30,62.89712,8.225732,3D,419,1.0,7,0.0,7.0,2.0,7.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,19:15:00,30,62.897175,8.225883,3D,425,1.4,6,0.0,0.0,0.0,11.0,615.0,1000010.0,0.0,1.0,0.0
2015-06-13,19:45:00,30,62.89702,8.225808,3D,408,1.2,5,0.0,0.0,0.0,15.0,617.0,1000010.0,0.0,1.0,0.0
2015-06-13,20:15:00,40,62.89741,8.225945,3D,438,1.3,6,0.0,7.0,7.0,10.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,20:45:00,30,62.897287,8.22638,3D,445,1.6,5,0.0,7.0,3.0,7.0,614.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,21:15:00,43,62.897097,8.226652,3D,432,1.4,6,0.0,19.0,5.0,7.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-13,21:45:00,30,62.897558,8.232215,3D,461,1.3,6,0.0,11.0,2.0,8.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-13,22:15:00,30,62.897375,8.230625,3D,466,1.2,6,0.0,4.0,0.0,10.0,615.0,1000010.0,0.0,1.0,0.0
2015-06-13,22:45:00,30,62.89694,8.227757,3D,443,4.8,4,0.0,2.0,0.0,11.0,615.0,1000010.0,0.0,1.0,0.0
2015-06-13,23:15:00,30,62.896932,8.227905,3D,447,4.5,4,0.0,0.0,0.0,13.0,616.0,1000010.0,720.0,1.0,11111111.0
2015-06-13,23:45:00,43,62.897023,8.227968,3D,436,1.0,9,0.0,0.0,0.0,15.0,615.0,1000010.0,0.0,1.0,0.0
2015-06-14,00:15:00,30,62.897028,8.228017,3D,444,0.9,9,0.0,0.0,0.0,17.0,618.0,1000010.0,0.0,1.0,0.0
2015-06-14,00:45:00,30,62.897015,8.227965,3D,459,1.0,7,0.0,5.0,2.0,19.0,619.0,1000010.0,0.0,1.0,0.0
2015-06-14,01:15:00,30,62.89555,8.227582,3D,429,1.3,6,0.0,15.0,11.0,10.0,617.0,1000010.0,0.0,1.0,0.0
2015-06-14,01:45:00,30,62.89572,8.22785,3D,451,1.4,5,0.0,14.0,0.0,7.0,614.0,1000010.0,720.0,1.0,11111111.0
2015-06-14,02:15:00,30,62.895635,8.22768,3D,444,1.5,4,0.0,12.0,6.0,6.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-14,02:45:00,62,62.895057,8.22909,3D,429,1.0,8,0.0,29.0,17.0,6.0,610.0,1000010.0,0.0,1.0,0.0
2015-06-14,03:15:00,30,62.894933,8.229087,3D,429,1.2,7,0.0,0.0,0.0,8.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-14,03:45:00,30,62.894935,8.228873,3D,424,1.1,7,0.0,6.0,4.0,11.0,615.0,1000010.0,0.0,1.0,0.0
2015-06-14,04:15:00,30,62.889142,8.223068,3D,412,2.2,6,0.0,12.0,4.0,6.0,613.0,1000010.0,720.0,1.0,11111111.0
2015-06-14,04:45:00,30,62.889145,8.222643,3D,409,2.8,4,0.0,6.0,2.0,5.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-14,05:15:00,30,62.88886,8.222938,3D,420,2.0,4,0.0,7.0,5.0,5.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-14,05:45:00,44,62.888928,8.222625,3D,410,1.3,7,0.0,0.0,0.0,8.0,611.0,1000010.0,0.0,1.0,0.0
2015-06-14,06:15:00,30,62.888995,8.223305,3D,406,1.2,7,0.0,15.0,5.0,10.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-14,06:45:00,30,62.889017,8.22361,3D,401,1.3,7,0.0,0.0,0.0,6.0,614.0,1000010.0,720.0,1.0,11111111.0
2015-06-14,07:15:00,30,62.888965,8.223612,3D,419,1.5,6,0.0,0.0,0.0,13.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-14,07:45:00,30,62.888977,8.223653,3D,416,1.8,6,0.0,0.0,0.0,15.0,617.0,1000010.0,0.0,1.0,0.0
2015-06-14,08:15:00,30,62.888997,8.223675,3D,418,2.4,5,0.0,1.0,0.0,16.0,616.0,1000010.0,0.0,1.0,0.0
2015-06-14,08:45:00,44,62.8892,8.223627,3D,412,2.2,5,0.0,10.0,2.0,10.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-14,09:15:00,44,62.889302,8.22359,3D,397,1.0,6,0.0,0.0,0.0,13.0,613.0,1000010.0,720.0,1.0,11111111.0
2015-06-14,09:45:00,30,62.888383,8.223363,3D,399,1.2,5,0.0,9.0,0.0,9.0,614.0,1000010.0,0.0,1.0,0.0
2015-06-14,10:15:00,30,62.887817,8.223422,3D,401,1.2,4,0.0,2.0,2.0,9.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-14,10:45:00,31,62.886745,8.2251,3D,386,1.2,4,0.0,8.0,0.0,8.0,613.0,1000010.0,0.0,1.0,0.0
2015-06-14,11:15:00,56,62.88726,8.225807,3D,419,2.3,4,0.0,22.0,4.0,8.0,611.0,1000010.0,0.0,1.0,0.0
