individual,first_date,last_date,nr_data_points
97402,2021-06-21 21:27:07,2021-09-06 09:31:36,228
97412,2021-06-20 21:28:24,2021-08-23 01:33:01,167
97413,2021-06-21 22:14:07,2021-09-06 09:19:07,246
97414,2021-06-20 21:28:31,2021-08-23 01:32:30,191
97417,2021-06-20 21:27:55,2021-09-06 09:32:55,256
97418,2021-06-20 21:26:07,2021-09-06 09:30:25,200
97420,2021-06-20 21:28:25,2021-09-06 09:33:05,238
97421,2021-06-20 21:28:07,2021-09-06 09:33:06,235
97425,2021-06-21 21:26:25,2021-09-06 09:32:26,236
97429,2021-06-20 21:28:25,2021-09-06 09:33:24,230
97430,2021-06-21 22:06:36,2021-08-23 02:10:07,183
97432,2021-06-20 21:27:37,2021-09-06 09:33:37,244
97433,2021-06-20 21:26:37,2021-09-06 09:31:30,241
97435,2021-06-21 13:22:54,2021-07-03 21:23:32,49
97436,2021-06-21 17:29:36,2021-09-06 08:35:00,192
97440,2021-06-21 21:27:55,2021-09-11 13:34:37,294
97442,2021-06-21 21:28:37,2021-09-06 09:33:06,241
97445,2021-06-20 21:35:07,2021-09-06 09:40:37,217
97447,2021-06-21 21:28:25,2021-08-23 01:32:07,184
97450,2021-06-21 18:15:25,2021-09-06 09:20:07,259
97453,2021-06-21 22:15:37,2021-09-06 11:21:02,231
97454,2021-06-20 22:13:37,2021-09-06 09:19:24,258
97457,2021-06-20 21:24:37,2021-09-06 11:40:06,218
97458,2021-06-20 21:23:01,2021-09-06 09:27:37,304
97461,2021-06-22 05:29:04,2021-09-06 09:34:07,148
97470,2021-06-21 19:31:32,2021-09-06 07:37:07,255
97474,2021-06-21 21:28:55,2021-09-06 08:34:37,215
113991,2021-06-20 21:16:34,2021-09-06 09:21:03,242
131618,2021-06-21 22:13:34,2021-09-06 08:55:04,249
131622,2021-06-20 21:26:33,2021-09-06 07:31:34,253
131623,2021-06-21 21:28:03,2021-09-06 09:31:35,234
131624,2021-06-21 21:18:03,2021-09-06 09:21:27,229
151016,2021-06-20 21:29:03,2021-09-06 09:32:14,236
320500,2021-06-21 00:31:11,2021-09-06 09:09:11,441
320503,2021-06-21 00:53:36,2021-09-06 07:16:52,218
320504,2021-06-21 00:31:48,2021-09-15 15:18:59,616
320505,2021-06-21 21:04:41,2021-09-06 11:27:22,568
320506,2021-06-21 21:20:13,2021-09-06 07:52:52,419
320511,2021-06-21 00:34:43,2021-09-06 09:45:42,212
320512,2021-06-21 21:07:52,2021-09-06 11:19:51,243
320514,2021-06-21 00:54:29,2021-09-15 15:17:19,550
320517,2021-06-21 20:00:43,2021-08-17 12:10:23,111
320518,2021-06-21 00:15:52,2021-09-06 08:07:30,507
320520,2021-06-21 20:59:19,2021-09-06 07:17:59,517
320521,2021-06-21 01:09:06,2021-09-08 02:51:04,475
320530,2021-06-21 01:05:52,2021-09-06 11:22:05,409
320532,2021-06-21 20:16:43,2021-09-06 07:17:23,438
320535,2021-06-21 21:05:31,2021-09-06 09:14:03,250
320536,2021-06-21 00:29:11,2021-09-06 09:30:28,447
321264,2021-06-20 21:34:29,2021-09-06 08:29:22,464
321268,2021-06-21 00:03:31,2021-09-08 02:22:22,247
321269,2021-06-21 00:12:36,2021-09-15 15:29:12,282
321271,2021-06-21 00:10:37,2021-09-06 09:29:42,474
321272,2021-06-22 00:10:11,2021-09-06 09:28:59,217
321273,2021-06-21 00:47:51,2021-09-06 08:49:04,439
321282,2021-06-21 12:11:11,2021-09-06 09:24:12,214
321283,2021-06-21 00:20:35,2021-09-15 15:18:18,595
(null),2021-05-27 19:25:29,2021-11-28 08:32:57,456
113991,2021-05-28 16:53:35,2021-10-14 08:59:00,728
131618,2021-05-28 16:49:34,2021-10-10 05:57:05,500
131622,2021-05-28 16:55:34,2021-10-19 22:35:06,670
131623,2021-05-29 09:21:06,2021-10-16 22:08:24,714
131624,2021-05-28 16:51:33,2021-10-15 12:26:34,587
151016,2021-05-28 14:20:58,2021-10-10 09:39:01,635
301160,2021-01-01 00:11:34,2021-02-03 23:50:10,3261
301834,2021-01-01 00:00:17,2021-02-09 04:17:18,3762
301835,2021-01-01 00:10:00,2021-02-10 21:26:30,3913
301836,2021-01-01 00:08:31,2021-03-10 19:27:30,3925
301837,2021-01-01 00:14:18,2021-01-02 08:00:30,128
301838,2021-01-01 00:10:00,2021-02-14 13:35:28,3968
319398,2021-05-27 22:35:31,2021-11-17 01:27:38,1373
319399,2021-05-27 22:24:43,2021-11-28 07:50:50,1135
319400,2021-05-27 22:34:31,2021-11-27 20:53:01,654
320458,2021-05-29 08:33:10,2021-11-12 15:23:11,1035
320459,2021-05-29 08:35:41,2021-11-28 07:22:18,1553
320460,2021-05-29 08:54:34,2021-11-19 07:21:45,1082
320461,2021-05-29 09:41:16,2021-11-04 00:59:00,966
320462,2021-05-29 08:43:15,2021-11-08 12:07:22,980
320463,2021-05-29 08:43:06,2021-10-25 09:25:07,943
320464,2021-05-29 08:43:57,2021-08-28 13:33:13,857
320465,2021-05-29 08:40:02,2021-11-18 23:40:42,1050
320466,2021-05-29 10:30:49,2021-11-28 08:13:50,1533
320467,2021-05-29 08:47:01,2021-11-28 11:29:03,1496
320468,2021-05-29 09:02:19,2021-10-25 09:48:21,1189
320469,2021-05-29 10:33:47,2021-11-28 07:24:04,1079
320470,2021-05-29 08:49:21,2021-11-28 04:41:01,1110
320471,2021-05-29 09:20:02,2021-10-09 17:09:06,894
320472,2021-05-29 10:45:04,2021-11-28 08:35:51,1514
320473,2021-05-29 08:46:42,2021-11-01 12:29:43,933
320474,2021-05-30 12:02:43,2021-09-28 16:05:26,781
320475,2021-05-29 11:33:56,2021-11-28 09:13:23,2137
320476,2021-05-30 12:03:42,2021-11-16 19:03:23,1121
320478,2021-05-29 09:14:38,2021-11-28 10:06:39,1101
320479,2021-05-29 15:15:58,2021-11-28 08:36:17,1077
320480,2021-05-29 11:39:39,2021-11-19 18:35:42,1060
320481,2021-05-29 11:19:41,2021-11-28 08:07:22,1768
320482,2021-05-29 09:26:28,2021-11-13 04:27:28,1016
320483,2021-05-29 12:29:37,2021-11-28 06:06:22,1500
320484,2021-05-29 15:16:35,2021-11-28 10:01:16,1160
320499,2021-05-30 12:05:42,2021-11-26 11:28:10,2297
320500,2021-05-29 10:19:53,2021-11-28 10:30:36,1066
320501,2021-05-29 16:17:04,2021-11-28 10:11:08,1355
320502,2021-05-29 15:57:12,2021-11-28 08:59:54,1164
320503,2021-05-29 10:20:34,2021-11-28 10:19:58,905
320504,2021-05-29 08:59:35,2021-11-28 04:30:48,1042
320505,2021-05-29 14:02:20,2021-11-28 09:50:57,1106
320506,2021-05-29 15:02:46,2021-11-28 10:14:39,1152
320507,2021-05-30 12:08:14,2021-11-28 10:27:24,1241
320508,2021-05-30 12:08:00,2021-11-28 08:09:18,1202
320511,2021-05-30 12:10:23,2021-11-28 09:58:48,954
320512,2021-05-29 15:36:11,2021-11-28 06:28:55,876
320513,2021-05-30 12:09:28,2021-11-28 10:53:28,1395
320514,2021-05-29 09:06:52,2021-11-27 15:29:53,983
320517,2021-05-30 12:10:42,2021-08-17 13:11:23,383
320518,2021-05-29 16:09:20,2021-10-20 08:19:28,920
320519,2021-05-29 12:09:23,2021-11-28 10:33:10,1394
320520,2021-05-29 09:34:41,2021-11-28 07:28:53,1455
320521,2021-05-29 11:09:52,2021-11-28 10:12:44,1161
320522,2021-05-29 12:41:21,2021-11-28 08:53:26,1189
320523,2021-05-29 10:42:27,2021-11-28 07:21:52,1560
320524,2021-05-29 09:11:31,2021-11-16 23:11:08,1356
320525,2021-05-30 12:13:53,2021-10-23 14:46:55,1135
320526,2021-05-29 16:19:00,2021-08-27 14:21:36,621
320528,2021-05-29 22:16:11,2021-11-28 05:53:51,1165
320529,2021-05-29 09:51:44,2021-10-22 12:36:13,853
320530,2021-05-29 11:07:38,2021-11-19 10:32:36,1200
320531,2021-05-30 12:16:00,2021-10-18 18:59:54,935
320532,2021-05-29 09:37:17,2021-11-28 10:29:22,1195
320533,2021-05-29 09:18:40,2021-11-28 10:33:22,1202
320534,2021-05-29 15:16:24,2021-11-28 08:47:39,1934
320535,2021-05-29 10:58:05,2021-11-28 10:37:46,925
320536,2021-05-30 12:15:06,2021-11-26 22:58:06,1146
320537,2021-05-29 08:37:51,2021-08-13 09:58:31,496
321264,2021-05-29 18:24:38,2021-11-28 06:54:41,1170
321265,2021-05-30 12:16:01,2021-10-29 14:48:37,1148
321266,2021-05-29 20:21:15,2021-11-28 08:58:14,1346
321267,2021-05-29 19:18:50,2021-11-28 09:43:22,1402
321268,2021-05-29 18:16:23,2021-11-28 09:28:55,1083
321269,2021-05-29 20:29:28,2021-11-24 12:14:11,805
321270,2021-05-29 18:18:31,2021-11-27 19:00:55,1182
321271,2021-05-29 18:18:11,2021-11-28 06:42:27,1175
321272,2021-05-29 20:12:57,2021-11-28 10:42:37,881
321273,2021-05-29 20:25:50,2021-11-28 10:03:25,1183
