individual,first_date,last_date,nr_data_points
97400,2018-05-29 10:17:37,2018-09-13 07:49:55,477
97401,2018-05-29 13:11:38,2018-09-13 07:52:01,376
97402,2018-05-29 11:40:07,2018-09-13 13:51:08,424
97403,2018-05-30 12:38:55,2018-09-13 07:56:37,295
97404,2018-05-30 12:46:08,2018-09-03 02:42:31,369
97405,2018-05-29 12:37:57,2018-09-13 10:24:06,654
97406,2018-05-29 12:38:07,2018-09-13 07:50:37,427
97408,2018-05-29 10:27:06,2018-09-13 00:54:02,923
97409,2018-05-29 11:32:07,2018-09-03 01:53:31,458
97410,2018-05-29 10:31:01,2018-09-13 07:54:25,435
97412,2018-05-29 13:04:01,2018-09-13 09:35:36,924
97413,2018-05-29 13:05:07,2018-09-12 16:52:07,463
97414,2018-05-29 11:04:31,2018-09-13 10:36:07,778
97415,2018-05-29 12:50:37,2018-09-13 09:36:16,668
97417,2018-05-30 12:44:04,2018-09-11 22:56:01,576
97418,2018-05-29 11:49:35,2018-09-13 07:50:37,415
97419,2018-05-29 11:51:07,2018-09-13 04:50:38,560
97420,2018-05-29 10:09:55,2018-09-13 07:52:25,430
97421,2018-05-29 10:40:01,2018-09-13 07:51:39,335
97422,2018-05-29 12:08:17,2018-09-13 01:50:24,412
97423,2018-05-29 10:37:37,2018-09-13 07:50:37,448
97424,2018-05-29 12:46:07,2018-09-13 13:55:02,792
97425,2018-05-30 12:43:07,2018-09-13 14:01:31,389
97426,2018-05-30 12:41:37,2018-09-13 04:59:04,581
97427,2018-05-29 13:14:37,2018-09-13 07:50:37,379
97428,2018-05-30 12:44:37,2018-09-13 01:57:31,416
97429,2018-05-29 12:11:25,2018-09-13 13:53:01,422
97430,2018-05-29 11:21:57,2018-09-13 07:53:25,407
97431,2018-05-29 12:50:43,2018-09-13 13:51:07,411
97432,2018-05-29 10:46:00,2018-09-13 07:53:37,411
97433,2018-05-29 12:48:53,2018-09-12 15:22:25,344
97434,2018-05-29 12:35:46,2018-09-13 07:52:07,369
97435,2018-05-29 09:54:37,2018-09-13 13:52:00,424
97436,2018-05-30 12:44:25,2018-10-28 20:00:07,545
97437,2018-05-29 12:02:37,2018-09-13 07:48:07,408
97438,2018-05-29 12:38:55,2018-09-13 13:48:55,335
97439,2018-05-29 12:58:07,2018-09-13 07:49:55,430
97440,2018-05-29 11:33:37,2018-09-13 07:52:07,443
97441,2018-05-29 13:02:07,2018-09-13 13:53:00,438
97442,2018-05-29 10:42:06,2018-09-13 13:52:37,396
97444,2018-05-29 11:02:06,2018-09-13 07:52:07,348
97445,2018-05-29 10:37:30,2018-09-13 07:55:37,447
97446,2018-05-29 10:18:37,2018-09-13 07:49:55,429
97447,2018-05-29 10:00:37,2018-09-13 13:51:31,473
97448,2018-05-29 10:16:09,2018-09-13 07:52:37,468
97449,2018-05-29 11:03:31,2018-09-13 01:50:07,396
97450,2018-05-29 11:14:37,2018-09-13 14:21:07,487
97452,2018-05-29 10:02:37,2018-09-13 13:50:01,424
97453,2018-05-29 12:45:07,2018-09-03 01:52:37,383
97454,2018-05-29 12:40:01,2018-09-13 07:53:07,398
97455,2018-05-29 12:44:37,2018-09-13 01:51:07,403
97456,2018-05-29 10:56:55,2018-10-29 07:55:36,565
97457,2018-05-29 13:07:07,2018-10-29 07:51:56,571
97458,2018-05-29 10:10:30,2018-10-29 07:55:25,553
97459,2018-05-29 12:05:25,2018-09-13 01:53:07,413
97460,2018-05-29 11:26:37,2018-09-13 07:54:04,403
97461,2018-05-29 11:35:55,2018-09-13 07:52:07,414
97462,2018-05-29 11:49:37,2018-09-03 17:19:46,404
97463,2018-05-29 10:36:37,2018-09-13 01:53:07,430
97464,2018-05-29 11:43:07,2018-09-13 01:50:07,415
97465,2018-05-29 13:03:55,2018-09-13 01:51:07,394
97466,2018-05-29 13:06:25,2018-09-13 13:52:37,384
97468,2018-05-29 12:48:07,2018-09-13 13:50:08,394
97469,2018-05-29 12:10:37,2018-09-13 04:51:37,802
97470,2018-05-30 12:45:37,2018-09-03 06:58:01,388
97471,2018-05-29 11:00:07,2018-09-03 06:52:07,407
97472,2018-05-29 11:27:54,2018-08-08 05:20:34,285
97473,2018-05-29 10:53:33,2018-09-03 01:49:05,452
97474,2018-06-08 15:16:37,2018-08-22 23:58:00,1083
97475,2018-05-29 10:39:03,2018-09-03 01:50:58,394
97476,2018-05-29 09:56:37,2018-09-03 01:53:07,421
97477,2018-05-29 10:23:01,2018-09-13 13:49:37,458
97478,2018-05-29 11:16:36,2018-09-10 01:54:00,393
112860,2018-05-29 12:54:36,2018-09-13 07:50:28,353
