RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K465912,22.09.2015,Sau,Norsk kvit sau,,17.09.2015,17.09.2015,Ja,Ukjent,Under 1 år,1,Dødt,Jerv,Antatt sikker,Utmark,1-5034,7049934,647649,7050067,349513,7054410,1309469,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K465587,04.08.2015,Sau,Spel,,01.08.2015,01.08.2015,Ja,Ukjent,Under 1 år,1,Dødt,Jerv,Dokumentert,Utmark,1-5034,7054312,644141,7054755,346431,7059139,1306444,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K471052,21.07.2016,Sau,Norsk kvit sau,,01.07.2016,15.07.2016,Ja,Ukjent,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7045008,640825,7045801,342258,7050234,1302156,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K471497,19.08.2016,Sau,Spel,,10.07.2016,05.08.2016,Ja,Hann,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7024324,638804,7025396,338311,7029868,1297950,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K472269,06.09.2016,Sau,Spel,,24.08.2016,31.08.2016,Ja,Ukjent,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7027639,335969,7027639,335969,7032142,1295635,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K479357,18.08.2017,Sau,Spel,,16.08.2017,17.08.2017,Ja,Ukjent,Under 1 år,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7025618,636749,7026876,336386,7031373,1296043,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K479523,19.08.2017,Sau,Norsk kvit sau,,12.08.2017,18.08.2017,Ja,Ukjent,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7026449,339405,7026449,339405,7030908,1299058,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K497647,27.06.2018,Sau,Spel,,10.06.2018,20.06.2018,Ja,Ukjent,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7026272,337220,7026272,337220,7030758,1296870,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498776,09.08.2018,Sau,Spel,,15.06.2018,01.08.2018,Ja,Ukjent,Under 1 år,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7022789,631797,7024522,331190,7029083,1290815,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K505085,13.08.2019,Sau,Norsk kvit sau,,01.07.2019,01.08.2019,Ja,Ukjent,Ukjent,1,Dødt,Ukjent,Usikker,Utmark,1-5034,7054398,638969,7055325,341289,7059774,1301307,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K511567,26.07.2020,Sau,Spel,,21.07.2020,24.07.2020,Ja,Ukjent,Under 1 år,1,Dødt,Jerv,Antatt sikker,Utmark,1-5034,7057191,345292,7057191,345292,7061591,1305336,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K512430,29.08.2020,Sau,Annet,Svartfjes,25.08.2020,27.08.2020,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7038581,349538,7038581,349538,7042918,1309349,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K512431,29.08.2020,Sau,Annet,Svartfjes,25.08.2020,27.08.2020,Ja,Ukjent,Under 1 år,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7038590,349617,7038590,349617,7042926,1309428,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K512432,29.08.2020,Sau,Annet,Svartfjes,25.08.2020,27.08.2020,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7038498,349841,7038498,349841,7042831,1309651,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K512433,29.08.2020,Sau,Annet,Svartfjes,25.08.2020,27.08.2020,Ja,Hunn,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7038446,349821,7038446,349821,7042780,1309631,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K512434,29.08.2020,Sau,Annet,Svartfjes,26.08.2020,28.08.2020,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7038630,649081,7038478,349778,7042812,1309588,ED50-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
