RovbaseID,Funnet_dato,Rase,Skadedato_fra,Skadedato_til,Usikker_skadedato,Alder,Tilstand,Skadearsak,latitude,longitude,altitude,terrain
K465587,2015-08-04,Spel,2015-08-01,2015-08-01,Ja,Under 1 år,Dødt,Jerv,63.5874050707906,11.904944079222725,639.78,Skog
K464965,2015-08-21,Norsk kvit sau,2015-08-21,2015-08-21,Ja,Voksen,Dødt,Ukjent,63.44596356661805,11.639105799114374,127.1,ÅpentOmråde
K465647,2015-09-09,Spel,2015-09-09,2015-09-09,Ja,Under 1 år,Dødt,Jerv,63.582688586392806,11.900335436359462,579.69,Skog
K465650,2015-09-09,Spel,2015-09-09,2015-09-09,Ja,Under 1 år,Dødt,Jerv,63.58298651446376,11.898327032320344,560.08,Skog
K465652,2015-09-09,Spel,2015-09-09,2015-09-09,Ja,Under 1 år,Dødt,Jerv,63.58305539510486,11.903178812062924,614.43,Skog
K465670,2015-09-10,Norsk kvit sau,2015-09-10,2015-09-10,Ja,Under 1 år,Dødt,Jerv,63.56994328612186,12.04114008502482,684.98,ÅpentOmråde
K465655,2015-09-10,Spel,2015-09-10,2015-09-10,Ja,Under 1 år,Dødt,Jerv,63.56947690122925,12.040301837850562,681.52,ÅpentOmråde
K465907,2015-09-11,Spel,2015-09-11,2015-09-11,Ja,Under 1 år,Dødt,Jerv,63.57987395421648,11.93699126007071,558.04,Skog
K465654,2015-09-11,Norsk kvit sau,2015-09-11,2015-09-11,Ja,Under 1 år,Dødt,Jerv,63.568012875199535,12.02987471575232,614.55,Skog
K465671,2015-09-12,Spel,2015-09-12,2015-09-12,Ja,Under 1 år,Dødt,Jerv,63.58973205045862,11.940992522335735,680.78,ÅpentOmråde
K465912,2015-09-22,Norsk kvit sau,2015-09-17,2015-09-17,Ja,Under 1 år,Dødt,Jerv,63.54671532198019,11.97142257855543,557.73,Skog
K465910,2015-09-22,Norsk kvit sau,2015-09-17,2015-09-17,Ja,Under 1 år,Dødt,Jerv,63.54785356809839,11.984511721609737,646.66,Skog
K465911,2015-09-22,Norsk kvit sau,2015-09-22,2015-09-22,Ja,Under 1 år,Dødt,Jerv,63.54701695673813,11.98317048341,641.75,Skog
K469817,2016-07-07,Spel,2016-07-04,2016-07-06,Ja,Under 1 år,Skadd og avlivet,Bjørn,63.32843532554719,11.880954565816875,597.63,Skog
K469784,2016-07-06,Spel,2016-07-05,2016-07-06,Ja,Voksen,Dødt,Bjørn,63.32677279374311,11.885850763529245,625.37,Skog
K469785,2016-07-06,Spel,2016-07-05,2016-07-06,Ja,Voksen,Skadd og ikke avlivet,Bjørn,63.31786874715223,11.853051498400784,447.16,Skog
K469786,2016-07-06,Spel,2016-07-05,2016-07-06,Ja,Åring,Skadd og ikke avlivet,Bjørn,63.3279234908966,11.87891165712478,583.1,Skog
K469790,2016-07-07,Spel,2016-07-06,2016-07-06,Nei,Under 1 år,Skadd og avlivet,Bjørn,63.308366963530105,11.626703466072858,515.07,Myr
K469949,2016-07-09,Norsk kvit sau,2016-07-06,2016-07-08,Ja,Voksen,Dødt,Bjørn,63.39678338293731,11.704148634758512,291.09,Skog
K469789,2016-07-07,Spel,2016-07-06,2016-07-06,Nei,Åring,Dødt,Bjørn,63.30435833951495,11.631566327374696,548.57,Skog
K469989,2016-07-10,Spel,2016-07-07,2016-07-09,Nei,Under 1 år,Dødt,Bjørn,63.26884321179905,11.600566170709891,707.54,Skog
K469990,2016-07-11,,2016-07-09,2016-07-10,Ja,Voksen,Dødt,Bjørn,63.37962940678447,11.682650700193117,370.76,Skog
K470063,2016-07-12,,2016-07-09,2016-07-11,Ja,Under 1 år,Dødt,Bjørn,63.56029916605701,12.055215492540938,789.17,ÅpentOmråde
K470071,2016-07-14,Norsk kvit sau,2016-07-13,2016-07-14,Ja,Voksen,Skadd og avlivet,Bjørn,63.53327675651004,11.89871962366923,431.1,Skog
K470069,2016-07-14,Norsk kvit sau,2016-07-13,2016-07-14,Ja,Under 1 år,Skadd og ikke avlivet,Bjørn,63.53000772847358,11.914973956254704,449.95,Skog
K470065,2016-07-14,Norsk kvit sau,2016-07-13,2016-07-14,Ja,Under 1 år,Skadd og ikke avlivet,Bjørn,63.53327675651004,11.89871962366923,431.1,Skog
K470128,2016-07-15,Spel,2016-07-14,2016-07-14,Nei,Voksen,Dødt,Bjørn,63.355193602900144,11.699694021396514,336.11,Skog
K470124,2016-07-15,Norsk kvit sau,2016-07-14,2016-07-15,Ja,Voksen,Dødt,Bjørn,63.353641242643256,11.694731063846389,330.2,Skog
K470270,2016-07-19,Spel,2016-07-16,2016-07-18,Ja,Voksen,Skadd og avlivet,Ulv,63.33718854884264,11.73472697186752,465.36,Skog
K470210,2016-07-18,,2016-07-16,2016-07-17,Ja,Åring,Dødt,Bjørn,63.33992673722114,11.695666719664738,467.02,Skog
K470214,2016-07-18,Spel,2016-07-17,2016-07-18,Ja,Under 1 år,Dødt,Ulv,63.33815135324232,11.741075492868063,460.39,Skog
K470215,2016-07-18,Spel,2016-07-17,2016-07-18,Nei,Under 1 år,Dødt,Ulv,63.33815135324232,11.741075492868063,460.39,Skog
K470213,2016-07-18,Spel,2016-07-17,2016-07-18,Ja,Voksen,Dødt,Ulv,63.33815135324232,11.741075492868063,460.39,Skog
K470638,2016-07-22,Spel,2016-07-17,2016-07-19,Ja,Voksen,Dødt,Bjørn,63.34262833674612,11.906108693872364,718.03,ÅpentOmråde
K470432,2016-07-26,Spel,2016-07-23,2016-07-24,Ja,Voksen,Dødt,Bjørn,63.35697219167973,11.746204722879924,436.85,Skog
K470434,2016-07-27,Norsk kvit sau,2016-07-23,2016-07-24,Ja,Åring,Dødt,Bjørn,63.34489220916238,11.650519592104574,388.88,Skog
K470433,2016-07-26,Norsk kvit sau,2016-07-25,2016-07-26,Nei,Voksen,Dødt,Bjørn,63.31212558647084,11.870037172128848,433.14,Skog
K470689,2016-08-01,Spel,2016-07-29,2016-07-30,Nei,Voksen,Dødt,Bjørn,63.33761940330365,11.692632780289353,474.91,Skog
K470687,2016-08-01,,2016-07-30,2016-07-31,Nei,Åring,Skadd og avlivet,Bjørn,63.350814018935054,11.708437545365166,379.24,Skog
K470918,2016-08-06,Norsk kvit sau,2016-08-02,2016-08-04,Ja,Under 1 år,Dødt,Jerv,63.55860743121709,12.04066495509756,814.75,ÅpentOmråde
K470923,2016-08-07,Norsk kvit sau,2016-08-02,2016-08-04,Ja,Voksen,Dødt,Bjørn,63.32359520495546,11.810823446017606,453.47,Skog
K470925,2016-08-05,Norsk kvit sau,2016-08-02,2016-08-04,Ja,Voksen,Dødt,Bjørn,63.24191939758544,11.788457090246231,789.7,ÅpentOmråde
K470920,2016-08-05,Norsk kvit sau,2016-08-03,2016-08-04,Ja,Voksen,Dødt,Bjørn,63.253694002413006,11.777619477851124,725.18,Myr
K470921,2016-08-06,Norsk kvit sau,2016-08-05,2016-08-06,Ja,Voksen,Dødt,Bjørn,63.29607991637635,11.853633311329231,514.36,Skog
K471494,2016-08-17,Spel,2016-08-09,2016-08-10,Ja,Voksen,Dødt,Bjørn,63.35572369077962,11.77945429907707,492.24,Skog
K471210,2016-08-12,Norsk kvit sau,2016-08-11,2016-08-12,Ja,Voksen,Dødt,Bjørn,63.33806731501545,11.822094694390165,408.49,Skog
