RovbaseID,Art,Totalt antall,Antall unger,Antall voksne,Antall usikre,Vurdering,"Aktivitetsdato, fra","Aktivitetsdato, til",Usikker aktivitetsdato,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Spor,Synsobservasjon,Leie,Ekskrement,Takseringslinje,Hår,Merker på trær,Hifunn,Revirmarkering,Graving,Observasjonsdato,Kjønn,Observert byttedyr,Annen observasjon,Kontrollstatus,Yngling,Barmark,Snø,AlleRevirmarkeringerKanSes,RegelmessigRevirmarkering,Kommunenummer,Kommune,Fylkenummer,Fylke
R490641,Ulv,1,,1,,Usikker,02.05.2015,02.05.2015,Nei,7023922,327414,7023922,327414,7028530,1287029,WGS84-UTM Sone 33,God,Ja,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,02.05.2015,,,,Fotodokumentasjon,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R498105,Bjørn,4,3,1,,Feilmelding,05.07.2016,05.07.2016,Nei,7050690,355015,7050690,355015,7054964,1314981,WGS84-UTM Sone 33,God,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,05.07.2016,,,,Intervju/brev,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R505101,Jerv,4,3,1,,Feilmelding,11.05.2017,11.05.2017,Nei,7032324,350866,7032324,350866,7036641,1310599,WGS84-UTM Sone 33,God,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,11.05.2017,,,,Feltkontroll - Rovviltkontakt,Ja,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R511519,Ulv,1,,1,,Usikker,27.03.2018,29.03.2018,Nei,7025531,637394,7026729,337020,7031218,1296675,WGS84-UTM Sone 32,Særs god,Ja,Nei,Nei,Nei,Nei,Ja,Nei,Nei,Nei,Nei,29.03.2018,,,,Feltkontroll - SNO,Nei,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R511979,Bjørn,1,,1,,Dokumentert,15.04.2018,16.04.2018,Nei,7029359,336425,7029359,336425,7033857,1296113,WGS84-UTM Sone 33,Meget god,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,16.04.2018,Ukjent,,,Fotodokumentasjon,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R512064,Bjørn,1,,1,,Dokumentert,09.04.2018,15.04.2018,Ja,7030341,636749,7031579,336827,7036073,1296544,WGS84-UTM Sone 32,Særs god,Ja,Nei,Ja,Ja,Nei,Nei,Ja,Ja,Nei,Ja,19.04.2018,,,,Feltkontroll - SNO,Nei,Nei,Ja,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R512667,Bjørn,1,,1,,Dokumentert,16.06.2018,16.06.2018,Nei,7025725,636482,7027008,336130,7031508,1295788,WGS84-UTM Sone 32,God,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,16.06.2018,Ukjent,Sau,,Fotodokumentasjon,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R512668,Bjørn,1,,1,,Dokumentert,24.06.2018,24.06.2018,Nei,7026795,635054,7028207,334808,7032724,1294481,WGS84-UTM Sone 32,God,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,24.06.2018,Ukjent,Sau,,Fotodokumentasjon,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R512670,Bjørn,1,,1,,Dokumentert,08.07.2018,08.07.2018,Nei,7025725,636482,7027008,336130,7031508,1295788,WGS84-UTM Sone 32,God,Nei,Ja,Nei,Nei,Nei,Nei,Nei,Nei,Nei,Nei,08.07.2018,Ukjent,Sauekadaver,,Fotodokumentasjon,Nei,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
R512639,Bjørn,2,1,1,,Dokumentert,16.07.2018,17.07.2018,Nei,7024672,638892,7025734,338431,7030205,1298075,WGS84-UTM Sone 32,Meget god,Nei,Ja,Nei,Nei,Nei,Ja,Nei,Nei,Nei,Nei,17.07.2018,,,,Feltkontroll - Rovviltkontakt,Ja,Nei,Nei,Nei,Nei,1-5034,Meråker (N),1-50,Trøndelag (N)
