RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke
K476848,2017-03-06,Sau,Norsk kvit sau,,2017-03-06,2017-03-06,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7022458,642940,7023151,342255,7027572,1301868,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K479773,2017-08-30,Sau,Annet,"Kryssing, grå trønder/gammelnorsk spæl",2017-08-29,2017-08-29,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7039136,640004,7040032,340891,7044479,1300716,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K497564,2018-06-26,Sau,Norsk kvit sau,,2018-06-25,2018-06-25,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028441,339405,7028441,339405,7032901,1299083,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K497977,2018-08-07,Sau,Norsk kvit sau,,2018-08-07,2018-08-07,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7030855,339691,7030855,339691,7035312,1299400,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498602,2018-05-08,Sau,Norsk kvit sau,,2018-01-08,2018-01-08,Nei,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7025044,337642,7025044,337642,7029524,1297277,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K498378,2018-07-25,Sau,Norsk kvit sau,,2018-07-25,2018-07-25,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028959,340375,7028959,340375,7033407,1300060,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K478679,2017-07-30,Sau,Norsk kvit sau,,2017-07-30,2017-07-30,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7027423,640116,7028359,339907,7032812,1299585,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K503168,2019-06-19,Sau,Spel,,2019-06-18,2019-06-18,Nei,Hunn,Åring,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7040947,343788,7040947,343788,7045358,1303626,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503340,2019-06-24,Sau,Spel,,2019-06-24,2019-06-24,Nei,Hunn,Åring,1,Skadd og avlivet,Ulv,Dokumentert,Utmark,1-5034,7043363,342447,7043363,342447,7047792,1302315,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K503341,2019-06-24,Sau,Spel,,2019-06-24,2019-06-24,Nei,Hunn,Voksen,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7043575,342312,7043575,342312,7048006,1302182,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K504090,2019-07-22,Sau,Norsk kvit sau,,2019-07-20,2019-07-20,Nei,Hann,Under 1 år,1,Skadd og ikke avlivet,Ulv,Antatt sikker,Utmark,1-5034,7048379,643947,7048866,345682,7053256,1305621,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K502917,2019-10-06,Sau,Norsk kvit sau,,2019-09-06,2019-09-06,Nei,Hunn,Voksen,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7046083,643777,7046595,345298,7050990,1305208,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K502918,2019-10-06,Sau,Norsk kvit sau,,2019-09-06,2019-09-06,Nei,Hunn,Under 1 år,1,Dødt,Ulv,Antatt sikker,Utmark,1-5034,7045965,644446,7046415,345953,7050802,1305861,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K497949,2018-07-07,Sau,Norsk kvit sau,,2018-07-07,2018-07-07,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7034177,346571,7034177,346571,7038549,1306325,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N)
K479829,2017-08-30,Sau,,,2017-08-30,2017-08-30,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7042249,644914,7042672,346071,7047055,1305932,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K471492,2016-08-23,Sau,Spel,,2016-08-23,2016-08-23,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7026238,635957,7027568,335655,7032074,1295320,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K470128,2016-07-15,Sau,Spel,,2016-07-14,2016-07-14,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028009,635052,7029416,334920,7033932,1294608,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K469789,2016-07-07,Sau,Spel,,2016-06-07,2016-06-07,Nei,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7022207,631878,7023935,331217,7028496,1290834,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K469790,2016-07-07,Sau,Spel,,2016-06-07,2016-06-07,Nei,Hann,Under 1 år,1,Skadd og avlivet,Bjørn,Dokumentert,Utmark,1-5034,7022643,631616,7024394,330997,7028957,1290620,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K478539,2017-07-27,Sau,,,2017-07-26,2017-07-26,Nei,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028936,636425,7030210,336373,7034709,1296072,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K478540,2017-07-26,Sau,Spel,,2017-07-26,2017-07-26,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7024790,639690,7025777,339237,7030237,1298881,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N)
K478262,2017-07-15,Sau,Spel,,2017-07-15,2017-07-15,Nei,Hann,Under 1 år,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7029700,637880,7030835,337894,7035315,1297601,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N)
K478455,2017-07-19,Sau,Spel,,2017-07-18,2017-07-18,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028004,635658,7029354,335522,7033863,1295210,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K478456,2017-07-19,Sau,Spel,,2017-07-18,2017-07-18,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7027534,635799,7028873,335619,7033380,1295301,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K478458,2017-07-19,Sau,Spel,,2017-07-18,2017-07-18,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028035,635711,7029380,335578,7033888,1295266,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
K478460,2017-07-19,Sau,Spel,,2017-07-18,2017-07-18,Nei,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7027824,635900,7029152,335747,7033658,1295432,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N)
