RovbaseID,Funnetdato,Skadetype,Rase,"Rase, annet","Skadedato, fra","Skadedato, til",Usikker skadedato,Kjønn,Alder,Antall,Tilstand,Skadeårsak,Vurdering,Skadested,KommuneID,Nord (opprinnelig),Øst (opprinnelig),Nord (UTM33/SWEREF99 TM),Øst (UTM33/SWEREF99 TM),Nord (RT90),Øst (RT90),Koordinatsystem,Stedkvalitet,Kommune,Fylkenummer,Fylke,latitude,longitude
K465912,22.09.2015,Sau,Norsk kvit sau,,17.09.2015,17.09.2015,Ja,Ukjent,Under 1 år,1,Dødt,Jerv,Antatt sikker,Utmark,1-5034,7049934,647649,7050067,349513,7054410,1309469,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.54671532198019,11.97142257855543
K465587,04.08.2015,Sau,Spel,,01.08.2015,01.08.2015,Ja,Ukjent,Under 1 år,1,Dødt,Jerv,Dokumentert,Utmark,1-5034,7054312,644141,7054755,346431,7059139,1306444,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.587405070790595,11.904944079222725
K479357,18.08.2017,Sau,Spel,,16.08.2017,17.08.2017,Ja,Ukjent,Under 1 år,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7025618,636749,7026876,336386,7031373,1296043,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.33310862776957,11.731531717995598
K511567,26.07.2020,Sau,Spel,,21.07.2020,24.07.2020,Ja,Ukjent,Under 1 år,1,Dødt,Jerv,Antatt sikker,Utmark,1-5034,7057191,345292,7057191,345292,7061591,1305336,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.60873849180011,11.879636197300892
K512430,29.08.2020,Sau,Annet,Svartfjes,25.08.2020,27.08.2020,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7038581,349538,7038581,349538,7042918,1309349,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.44378648950279,11.982810136610384
K512431,29.08.2020,Sau,Annet,Svartfjes,25.08.2020,27.08.2020,Ja,Ukjent,Under 1 år,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7038590,349617,7038590,349617,7042926,1309428,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.443900522876596,11.984383186837027
K512432,29.08.2020,Sau,Annet,Svartfjes,25.08.2020,27.08.2020,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7038498,349841,7038498,349841,7042831,1309651,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.44317052072296,11.988954250454347
K512433,29.08.2020,Sau,Annet,Svartfjes,25.08.2020,27.08.2020,Ja,Hunn,Under 1 år,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7038446,349821,7038446,349821,7042780,1309631,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.4426960454908,11.988602853187224
K512434,29.08.2020,Sau,Annet,Svartfjes,26.08.2020,28.08.2020,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7038630,649081,7038478,349778,7042812,1309588,ED50-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.44296470242102,11.987711891017517
K499263,23.08.2018,Sau,Norsk kvit sau,,19.08.2018,20.08.2018,Ja,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7036620,333293,7036620,333293,7041161,1293071,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.41898333849786,11.659732567993036
K479657,25.08.2017,Sau,Norsk kvit sau,,20.08.2017,22.08.2017,Ja,Hunn,Åring,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7027901,638712,7028966,338554,7033437,1298238,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.35282113723676,11.77265832926983
K479834,30.08.2017,Sau,Norsk kvit sau,,13.08.2017,15.08.2017,Ja,Hunn,Voksen,1,Dødt,Bjørn,Antatt sikker,Utmark,1-5034,7029883,634649,7031319,334693,7035840,1294406,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.37213935946891,11.693203873704382
K478895,06.08.2017,Sau,Norsk kvit sau,,05.08.2017,06.08.2017,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7028756,634581,7030203,334520,7034726,1294218,WGS84-UTM Sone 32,Meget god,Meråker (N),1-50,Trøndelag (N),63.36206007027356,11.690901619827141
K469949,09.07.2016,Sau,Norsk kvit sau,,06.07.2016,08.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7032650,635080,7034034,335381,7038547,1295128,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.39678338293731,11.704148634758512
K469990,11.07.2016,Sau,,,09.07.2016,10.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7030695,634086,7032180,334209,7036708,1293932,WGS84-UTM Sone 32,Særs god,Meråker (N),1-50,Trøndelag (N),63.37962940678447,11.682650700193117
K470124,15.07.2016,Sau,Norsk kvit sau,,14.07.2016,15.07.2016,Ja,Hunn,Voksen,1,Dødt,Bjørn,Dokumentert,Utmark,1-5034,7027826,634812,7029256,334663,7033776,1294350,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.353641242643256,11.694731063846389
K465652,09.09.2015,Sau,Spel,,09.09.2015,09.09.2015,Ja,Ukjent,Under 1 år,1,Dødt,Jerv,Dokumentert,Utmark,1-5034,7053824,644076,7054275,346320,7058660,1306328,WGS84-UTM Sone 32,God,Meråker (N),1-50,Trøndelag (N),63.58305539510486,11.903178812062924
K504109,23.07.2019,Sau,Norsk kvit sau,,21.07.2019,22.07.2019,Ja,Ukjent,Under 1 år,1,Dødt,Ulv,Dokumentert,Utmark,1-5034,7059052,343045,7059052,343045,7063481,1303111,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.624424125517876,11.832540781145216
K497279,18.06.2018,Sau,Norsk kvit sau,,10.06.2018,15.06.2018,Ja,Hunn,Under 1 år,1,Skadd og ikke avlivet,Bjørn,Antatt sikker,Utmark,1-5034,7022769,344497,7022769,344497,7027162,1304106,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.2999202168598,11.897236923748752
K497280,18.06.2018,Sau,Norsk kvit sau,,10.06.2018,15.06.2018,Ja,Hunn,Voksen,1,Skadd og ikke avlivet,Bjørn,Antatt sikker,Utmark,1-5034,7022777,344503,7022777,344503,7027170,1304112,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.29999451467157,11.897348715628182
K471420,19.08.2016,Sau,,,18.08.2016,19.08.2016,Nei,Hunn,Åring,1,Skadd og avlivet,Ulv,Antatt sikker,Utmark,1-5034,7010374,350473,7010374,350473,7014685,1309929,WGS84-UTM Sone 33,God,Meråker (N),1-50,Trøndelag (N),63.19136955457566,12.02772788895924
