Sett;Start;Slutt;i, slutt;datasett;rase;Size;Farm;sau_id;Bjelle_id
1.0;2012-06-10 00:15:00;2012-09-07 23:45:00;4311.0;2012_koksvik_00022_2201;Gr. Trnd.;4311.0;koksvik;22;2201
2.0;2012-06-10 00:15:00;2012-09-07 23:45:00;8620.0;2012_koksvik_00048_2212;Gr. Trnd.;4308.0;koksvik;48;2212
3.0;2012-06-10 00:15:00;2012-09-07 23:45:00;12938.0;2012_koksvik_6006_2207;Gr. Trnd.;4317.0;koksvik;6006;2207
4.0;2012-06-10 00:15:00;2012-09-07 23:45:00;17246.0;2012_koksvik_6008_2216;Gr. Trnd.;4307.0;koksvik;6008;2216
5.0;2012-06-10 00:15:00;2012-07-23 15:45:00;19340.0;2012_koksvik_6051_2224;Gr. Trnd.;2093.0;koksvik;6051;2224
6.0;2012-06-10 00:00:00;2012-09-07 22:00:00;20383.0;2012_koksvik_6058_1655;Gr. Trnd.;1042.0;koksvik;6058;1655
7.0;2012-06-10 00:15:00;2012-09-07 23:45:00;24696.0;2012_koksvik_6068_2230;Gr. Trnd.;4312.0;koksvik;6068;2230
8.0;2012-06-10 00:15:00;2012-09-07 23:45:00;29006.0;2012_koksvik_7030_2225;Gr. Trnd.;4309.0;koksvik;7030;2225
9.0;2012-06-10 00:15:00;2012-09-07 23:45:00;33313.0;2012_koksvik_7037_2211;Gr. Trnd.;4306.0;koksvik;7037;2211
10.0;2012-06-10 00:15:00;2012-09-07 23:45:00;37626.0;2012_koksvik_80080_2227;Gr. Trnd.;4312.0;koksvik;80080;2227
11.0;2012-06-10 00:15:00;2012-09-07 23:45:00;41926.0;2012_torjul_00082_2208;NKS;4299.0;torjul;82;2208
12.0;2012-06-10 00:15:00;2012-08-31 14:45:00;45819.0;2012_torjul_6119_2202;Spel;3892.0;torjul;6119;2202
13.0;2012-06-10 00:15:00;2012-09-07 23:45:00;50027.0;2012_torjul_7004_2219;Spel;4207.0;torjul;7004;2219
14.0;2012-06-10 00:15:00;2012-09-07 23:45:00;53607.0;2012_torjul_7175_2229;NKS;3579.0;torjul;7175;2229
15.0;2012-06-10 00:15:00;2012-09-07 23:45:00;57839.0;2012_torjul_8017_2226;NKS;4231.0;torjul;8017;2226
16.0;2012-06-10 00:15:00;2012-09-07 23:45:00;62066.0;2012_torjul_8037_2222;Spel;4226.0;torjul;8037;2222
17.0;2012-06-10 00:15:00;2012-09-07 23:45:00;66370.0;2012_torjul_8059_2228;Spel;4303.0;torjul;8059;2228
18.0;2012-06-10 00:15:00;2012-08-31 23:15:00;69872.0;2012_torjul_9028_2217;NKS;3501.0;torjul;9028;2217
