Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
Sunndalsøra Iii,SN63420,2012-06-01 01:15:00,2.7
Sunndalsøra Iii,SN63420,2012-06-01 01:45:00,2.5
Sunndalsøra Iii,SN63420,2012-06-01 02:15:00,2.3
Sunndalsøra Iii,SN63420,2012-06-01 02:45:00,2.4
Sunndalsøra Iii,SN63420,2012-06-01 03:15:00,2.5
Sunndalsøra Iii,SN63420,2012-06-01 03:45:00,2.5
Sunndalsøra Iii,SN63420,2012-06-01 04:15:00,2.5
Sunndalsøra Iii,SN63420,2012-06-01 04:45:00,2.7
Sunndalsøra Iii,SN63420,2012-06-01 05:15:00,2.9
Sunndalsøra Iii,SN63420,2012-06-01 05:45:00,3.0
Sunndalsøra Iii,SN63420,2012-06-01 06:15:00,3
Sunndalsøra Iii,SN63420,2012-06-01 06:45:00,3.6
Sunndalsøra Iii,SN63420,2012-06-01 07:15:00,4.2
Sunndalsøra Iii,SN63420,2012-06-01 07:45:00,4.6
Sunndalsøra Iii,SN63420,2012-06-01 08:15:00,4.9
Sunndalsøra Iii,SN63420,2012-06-01 08:45:00,4.6
Sunndalsøra Iii,SN63420,2012-06-01 09:15:00,4.2
Sunndalsøra Iii,SN63420,2012-06-01 09:45:00,4.9
Sunndalsøra Iii,SN63420,2012-06-01 10:15:00,5.6
Sunndalsøra Iii,SN63420,2012-06-01 10:45:00,6.0
Sunndalsøra Iii,SN63420,2012-06-01 11:15:00,6.5
Sunndalsøra Iii,SN63420,2012-06-01 11:45:00,6.0
Sunndalsøra Iii,SN63420,2012-06-01 12:15:00,5.4
Sunndalsøra Iii,SN63420,2012-06-01 12:45:00,6.5
Sunndalsøra Iii,SN63420,2012-06-01 13:15:00,7.6
Sunndalsøra Iii,SN63420,2012-06-01 13:45:00,7.0
Sunndalsøra Iii,SN63420,2012-06-01 14:15:00,6.5
Sunndalsøra Iii,SN63420,2012-06-01 14:45:00,5.6
Sunndalsøra Iii,SN63420,2012-06-01 15:15:00,4.7
Sunndalsøra Iii,SN63420,2012-06-01 15:45:00,4.6
Sunndalsøra Iii,SN63420,2012-06-01 16:15:00,4.5
Sunndalsøra Iii,SN63420,2012-06-01 16:45:00,5.3
Sunndalsøra Iii,SN63420,2012-06-01 17:15:00,6.2
Sunndalsøra Iii,SN63420,2012-06-01 17:45:00,5.5
Sunndalsøra Iii,SN63420,2012-06-01 18:15:00,4.7
Sunndalsøra Iii,SN63420,2012-06-01 18:45:00,4.5
Sunndalsøra Iii,SN63420,2012-06-01 19:15:00,4.3
Sunndalsøra Iii,SN63420,2012-06-01 19:45:00,4.6
Sunndalsøra Iii,SN63420,2012-06-01 20:15:00,4.9
Sunndalsøra Iii,SN63420,2012-06-01 20:45:00,4.7
Sunndalsøra Iii,SN63420,2012-06-01 21:15:00,4.5
Sunndalsøra Iii,SN63420,2012-06-01 21:45:00,4.3
Sunndalsøra Iii,SN63420,2012-06-01 22:15:00,4.1
Sunndalsøra Iii,SN63420,2012-06-01 22:45:00,3.9
Sunndalsøra Iii,SN63420,2012-06-01 23:15:00,3.8
Sunndalsøra Iii,SN63420,2012-06-01 23:45:00,3.9
Sunndalsøra Iii,SN63420,2012-06-02 00:15:00,4
Sunndalsøra Iii,SN63420,2012-06-02 00:45:00,3.9
Sunndalsøra Iii,SN63420,2012-06-02 01:15:00,3.7
Sunndalsøra Iii,SN63420,2012-06-02 01:45:00,3.7
Sunndalsøra Iii,SN63420,2012-06-02 02:15:00,3.6
Sunndalsøra Iii,SN63420,2012-06-02 02:45:00,3.6
Sunndalsøra Iii,SN63420,2012-06-02 03:15:00,3.6
Sunndalsøra Iii,SN63420,2012-06-02 03:45:00,3.7
Sunndalsøra Iii,SN63420,2012-06-02 04:15:00,3.7
Sunndalsøra Iii,SN63420,2012-06-02 04:45:00,3.6
Sunndalsøra Iii,SN63420,2012-06-02 05:15:00,3.5
Sunndalsøra Iii,SN63420,2012-06-02 05:45:00,3.6
Sunndalsøra Iii,SN63420,2012-06-02 06:15:00,3.7
Sunndalsøra Iii,SN63420,2012-06-02 06:45:00,3.6
Sunndalsøra Iii,SN63420,2012-06-02 07:15:00,3.5
Sunndalsøra Iii,SN63420,2012-06-02 07:45:00,4.0
Sunndalsøra Iii,SN63420,2012-06-02 08:15:00,4.5
Sunndalsøra Iii,SN63420,2012-06-02 08:45:00,4.9
Sunndalsøra Iii,SN63420,2012-06-02 09:15:00,5.3
Sunndalsøra Iii,SN63420,2012-06-02 09:45:00,5.7
Sunndalsøra Iii,SN63420,2012-06-02 10:15:00,6.1
Sunndalsøra Iii,SN63420,2012-06-02 10:45:00,5.5
Sunndalsøra Iii,SN63420,2012-06-02 11:15:00,4.9
Sunndalsøra Iii,SN63420,2012-06-02 11:45:00,5.4
Sunndalsøra Iii,SN63420,2012-06-02 12:15:00,5.9
Sunndalsøra Iii,SN63420,2012-06-02 12:45:00,6.2
Sunndalsøra Iii,SN63420,2012-06-02 13:15:00,6.6
Sunndalsøra Iii,SN63420,2012-06-02 13:45:00,6.9
Sunndalsøra Iii,SN63420,2012-06-02 14:15:00,7.3
Sunndalsøra Iii,SN63420,2012-06-02 14:45:00,6.4
Sunndalsøra Iii,SN63420,2012-06-02 15:15:00,5.5
Sunndalsøra Iii,SN63420,2012-06-02 15:45:00,5.6
Sunndalsøra Iii,SN63420,2012-06-02 16:15:00,5.7
Sunndalsøra Iii,SN63420,2012-06-02 16:45:00,6.1
Sunndalsøra Iii,SN63420,2012-06-02 17:15:00,6.4
Sunndalsøra Iii,SN63420,2012-06-02 17:45:00,5.9
Sunndalsøra Iii,SN63420,2012-06-02 18:15:00,5.4
Sunndalsøra Iii,SN63420,2012-06-02 18:45:00,5.7
Sunndalsøra Iii,SN63420,2012-06-02 19:15:00,5.9
Sunndalsøra Iii,SN63420,2012-06-02 19:45:00,6.2
Sunndalsøra Iii,SN63420,2012-06-02 20:15:00,6.4
Sunndalsøra Iii,SN63420,2012-06-02 20:45:00,6.2
Sunndalsøra Iii,SN63420,2012-06-02 21:15:00,5.9
Sunndalsøra Iii,SN63420,2012-06-02 21:45:00,6.1
Sunndalsøra Iii,SN63420,2012-06-02 22:15:00,6.3
Sunndalsøra Iii,SN63420,2012-06-02 22:45:00,5.9
Sunndalsøra Iii,SN63420,2012-06-02 23:15:00,5.6
Sunndalsøra Iii,SN63420,2012-06-02 23:45:00,5.7
Sunndalsøra Iii,SN63420,2012-06-03 00:15:00,5.8
Sunndalsøra Iii,SN63420,2012-06-03 00:45:00,5.8
Sunndalsøra Iii,SN63420,2012-06-03 01:15:00,5.9
Sunndalsøra Iii,SN63420,2012-06-03 01:45:00,6.0
Sunndalsøra Iii,SN63420,2012-06-03 02:15:00,6
Sunndalsøra Iii,SN63420,2012-06-03 02:45:00,6.0
Sunndalsøra Iii,SN63420,2012-06-03 03:15:00,6.1
Sunndalsøra Iii,SN63420,2012-06-03 03:45:00,6.1
Sunndalsøra Iii,SN63420,2012-06-03 04:15:00,6.1
Sunndalsøra Iii,SN63420,2012-06-03 04:45:00,6.3
Sunndalsøra Iii,SN63420,2012-06-03 05:15:00,6.6
Sunndalsøra Iii,SN63420,2012-06-03 05:45:00,6.6
Sunndalsøra Iii,SN63420,2012-06-03 06:15:00,6.6
Sunndalsøra Iii,SN63420,2012-06-03 06:45:00,6.8
Sunndalsøra Iii,SN63420,2012-06-03 07:15:00,7.1
Sunndalsøra Iii,SN63420,2012-06-03 07:45:00,7.3
Sunndalsøra Iii,SN63420,2012-06-03 08:15:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 08:45:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 09:15:00,7.6
Sunndalsøra Iii,SN63420,2012-06-03 09:45:00,7.8
Sunndalsøra Iii,SN63420,2012-06-03 10:15:00,8.1
Sunndalsøra Iii,SN63420,2012-06-03 10:45:00,7.9
Sunndalsøra Iii,SN63420,2012-06-03 11:15:00,7.7
Sunndalsøra Iii,SN63420,2012-06-03 11:45:00,7.8
Sunndalsøra Iii,SN63420,2012-06-03 12:15:00,8
