Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Meråker - Vardetun;SN69380;01.05.2018 01:00;-1,6
Meråker - Vardetun;SN69380;01.05.2018 02:00;-2,5
Meråker - Vardetun;SN69380;01.05.2018 03:00;-2
Meråker - Vardetun;SN69380;01.05.2018 04:00;-1,9
Meråker - Vardetun;SN69380;01.05.2018 05:00;-1,5
Meråker - Vardetun;SN69380;01.05.2018 06:00;0,2
Meråker - Vardetun;SN69380;01.05.2018 07:00;2,4
Meråker - Vardetun;SN69380;01.05.2018 08:00;4,5
Meråker - Vardetun;SN69380;01.05.2018 09:00;5,9
Meråker - Vardetun;SN69380;01.05.2018 10:00;6,1
Meråker - Vardetun;SN69380;01.05.2018 11:00;5,9
Meråker - Vardetun;SN69380;01.05.2018 12:00;6
Meråker - Vardetun;SN69380;01.05.2018 13:00;5,8
Meråker - Vardetun;SN69380;01.05.2018 14:00;7,2
Meråker - Vardetun;SN69380;01.05.2018 15:00;6,9
Meråker - Vardetun;SN69380;01.05.2018 16:00;6,9
Meråker - Vardetun;SN69380;01.05.2018 17:00;7,2
Meråker - Vardetun;SN69380;01.05.2018 18:00;6,8
Meråker - Vardetun;SN69380;01.05.2018 19:00;5,4
Meråker - Vardetun;SN69380;01.05.2018 20:00;5,5
Meråker - Vardetun;SN69380;01.05.2018 21:00;5,4
Meråker - Vardetun;SN69380;01.05.2018 22:00;5,2
Meråker - Vardetun;SN69380;01.05.2018 23:00;5,3
Meråker - Vardetun;SN69380;02.05.2018 00:00;5,2
Meråker - Vardetun;SN69380;02.05.2018 01:00;4,2
Meråker - Vardetun;SN69380;02.05.2018 02:00;3,4
Meråker - Vardetun;SN69380;02.05.2018 03:00;3,3
Meråker - Vardetun;SN69380;02.05.2018 04:00;4,3
Meråker - Vardetun;SN69380;02.05.2018 05:00;3,7
Meråker - Vardetun;SN69380;02.05.2018 06:00;3,9
Meråker - Vardetun;SN69380;02.05.2018 07:00;5,6
Meråker - Vardetun;SN69380;02.05.2018 08:00;8,9
Meråker - Vardetun;SN69380;02.05.2018 09:00;9,7
Meråker - Vardetun;SN69380;02.05.2018 10:00;11,2
Meråker - Vardetun;SN69380;02.05.2018 11:00;12,2
Meråker - Vardetun;SN69380;02.05.2018 12:00;12,2
Meråker - Vardetun;SN69380;02.05.2018 13:00;12,9
Meråker - Vardetun;SN69380;02.05.2018 14:00;13,1
Meråker - Vardetun;SN69380;02.05.2018 15:00;12,5
Meråker - Vardetun;SN69380;02.05.2018 16:00;12,8
Meråker - Vardetun;SN69380;02.05.2018 17:00;13
Meråker - Vardetun;SN69380;02.05.2018 18:00;12,2
Meråker - Vardetun;SN69380;02.05.2018 19:00;11,2
Meråker - Vardetun;SN69380;02.05.2018 20:00;9,3
Meråker - Vardetun;SN69380;02.05.2018 21:00;8
Meråker - Vardetun;SN69380;02.05.2018 22:00;5,1
Meråker - Vardetun;SN69380;02.05.2018 23:00;6,1
Meråker - Vardetun;SN69380;03.05.2018 00:00;5
Meråker - Vardetun;SN69380;03.05.2018 01:00;5,3
Meråker - Vardetun;SN69380;03.05.2018 02:00;5,9
Meråker - Vardetun;SN69380;03.05.2018 03:00;7
Meråker - Vardetun;SN69380;03.05.2018 04:00;7,3
Meråker - Vardetun;SN69380;03.05.2018 05:00;6,9
Meråker - Vardetun;SN69380;03.05.2018 06:00;7,6
Meråker - Vardetun;SN69380;03.05.2018 07:00;9,5
Meråker - Vardetun;SN69380;03.05.2018 08:00;10
Meråker - Vardetun;SN69380;03.05.2018 09:00;10,6
Meråker - Vardetun;SN69380;03.05.2018 10:00;10,7
Meråker - Vardetun;SN69380;03.05.2018 11:00;9,8
Meråker - Vardetun;SN69380;03.05.2018 12:00;9,4
Meråker - Vardetun;SN69380;03.05.2018 13:00;9,4
Meråker - Vardetun;SN69380;03.05.2018 14:00;9,6
Meråker - Vardetun;SN69380;03.05.2018 15:00;9,9
Meråker - Vardetun;SN69380;03.05.2018 16:00;10,4
Meråker - Vardetun;SN69380;03.05.2018 17:00;9,1
Meråker - Vardetun;SN69380;03.05.2018 18:00;9,1
Meråker - Vardetun;SN69380;03.05.2018 19:00;5,4
Meråker - Vardetun;SN69380;03.05.2018 20:00;4,9
Meråker - Vardetun;SN69380;03.05.2018 21:00;4,8
Meråker - Vardetun;SN69380;03.05.2018 22:00;4,5
Meråker - Vardetun;SN69380;03.05.2018 23:00;4,2
Meråker - Vardetun;SN69380;04.05.2018 00:00;3,7
Meråker - Vardetun;SN69380;04.05.2018 01:00;2,9
Meråker - Vardetun;SN69380;04.05.2018 02:00;1,2
Meråker - Vardetun;SN69380;04.05.2018 03:00;-0,4
Meråker - Vardetun;SN69380;04.05.2018 04:00;-1,1
Meråker - Vardetun;SN69380;04.05.2018 05:00;-0,6
Meråker - Vardetun;SN69380;04.05.2018 06:00;1,1
Meråker - Vardetun;SN69380;04.05.2018 07:00;2,8
Meråker - Vardetun;SN69380;04.05.2018 08:00;6,3
Meråker - Vardetun;SN69380;04.05.2018 09:00;10,2
Meråker - Vardetun;SN69380;04.05.2018 10:00;11
Meråker - Vardetun;SN69380;04.05.2018 11:00;12,2
Meråker - Vardetun;SN69380;04.05.2018 12:00;12
Meråker - Vardetun;SN69380;04.05.2018 13:00;13
Meråker - Vardetun;SN69380;04.05.2018 14:00;13,4
Meråker - Vardetun;SN69380;04.05.2018 15:00;13,6
Meråker - Vardetun;SN69380;04.05.2018 16:00;13,9
Meråker - Vardetun;SN69380;04.05.2018 17:00;14
Meråker - Vardetun;SN69380;04.05.2018 18:00;14,5
Meråker - Vardetun;SN69380;04.05.2018 19:00;13,3
Meråker - Vardetun;SN69380;04.05.2018 20:00;10,5
Meråker - Vardetun;SN69380;04.05.2018 21:00;9,3
Meråker - Vardetun;SN69380;04.05.2018 22:00;6,4
Meråker - Vardetun;SN69380;04.05.2018 23:00;6,9
Meråker - Vardetun;SN69380;05.05.2018 00:00;6,3
Meråker - Vardetun;SN69380;05.05.2018 01:00;6,1
Meråker - Vardetun;SN69380;05.05.2018 02:00;5,9
Meråker - Vardetun;SN69380;05.05.2018 03:00;6
Meråker - Vardetun;SN69380;05.05.2018 04:00;5,9
Meråker - Vardetun;SN69380;05.05.2018 05:00;6,1
Meråker - Vardetun;SN69380;05.05.2018 06:00;6,6
Meråker - Vardetun;SN69380;05.05.2018 07:00;7
Meråker - Vardetun;SN69380;05.05.2018 08:00;7,7
Meråker - Vardetun;SN69380;05.05.2018 09:00;9,1
Meråker - Vardetun;SN69380;05.05.2018 10:00;10,5
Meråker - Vardetun;SN69380;05.05.2018 11:00;12,2
Meråker - Vardetun;SN69380;05.05.2018 12:00;15
Meråker - Vardetun;SN69380;05.05.2018 13:00;15,8
Meråker - Vardetun;SN69380;05.05.2018 14:00;16,1
Meråker - Vardetun;SN69380;05.05.2018 15:00;16,6
Meråker - Vardetun;SN69380;05.05.2018 16:00;18,4
Meråker - Vardetun;SN69380;05.05.2018 17:00;18,5
Meråker - Vardetun;SN69380;05.05.2018 18:00;17,2
Meråker - Vardetun;SN69380;05.05.2018 19:00;15,5
Meråker - Vardetun;SN69380;05.05.2018 20:00;14,1
Meråker - Vardetun;SN69380;05.05.2018 21:00;14,4
Meråker - Vardetun;SN69380;05.05.2018 22:00;10,9
Meråker - Vardetun;SN69380;05.05.2018 23:00;13,2
Meråker - Vardetun;SN69380;06.05.2018 00:00;10,8
Meråker - Vardetun;SN69380;06.05.2018 01:00;11,3
Meråker - Vardetun;SN69380;06.05.2018 02:00;11,1
Meråker - Vardetun;SN69380;06.05.2018 03:00;9,3
Meråker - Vardetun;SN69380;06.05.2018 04:00;11,7
Meråker - Vardetun;SN69380;06.05.2018 05:00;11,4
Meråker - Vardetun;SN69380;06.05.2018 06:00;9,9
Meråker - Vardetun;SN69380;06.05.2018 07:00;9,1
Meråker - Vardetun;SN69380;06.05.2018 08:00;9,2
Meråker - Vardetun;SN69380;06.05.2018 09:00;9,4
Meråker - Vardetun;SN69380;06.05.2018 10:00;8,7
Meråker - Vardetun;SN69380;06.05.2018 11:00;8,6
Meråker - Vardetun;SN69380;06.05.2018 12:00;7,4
Meråker - Vardetun;SN69380;06.05.2018 13:00;6,6
Meråker - Vardetun;SN69380;06.05.2018 14:00;7,9
Meråker - Vardetun;SN69380;06.05.2018 15:00;7,9
Meråker - Vardetun;SN69380;06.05.2018 16:00;8,5
Meråker - Vardetun;SN69380;06.05.2018 17:00;9,5
Meråker - Vardetun;SN69380;06.05.2018 18:00;9,1
Meråker - Vardetun;SN69380;06.05.2018 19:00;9
Meråker - Vardetun;SN69380;06.05.2018 20:00;8
