Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Sunndalsøra Iii;SN63420;01.06.2012 01:00;2,7
Sunndalsøra Iii;SN63420;01.06.2012 02:00;2,3
Sunndalsøra Iii;SN63420;01.06.2012 03:00;2,5
Sunndalsøra Iii;SN63420;01.06.2012 04:00;2,5
Sunndalsøra Iii;SN63420;01.06.2012 05:00;2,9
Sunndalsøra Iii;SN63420;01.06.2012 06:00;3
Sunndalsøra Iii;SN63420;01.06.2012 07:00;4,2
Sunndalsøra Iii;SN63420;01.06.2012 08:00;4,9
Sunndalsøra Iii;SN63420;01.06.2012 09:00;4,2
Sunndalsøra Iii;SN63420;01.06.2012 10:00;5,6
Sunndalsøra Iii;SN63420;01.06.2012 11:00;6,5
Sunndalsøra Iii;SN63420;01.06.2012 12:00;5,4
Sunndalsøra Iii;SN63420;01.06.2012 13:00;7,6
Sunndalsøra Iii;SN63420;01.06.2012 14:00;6,5
Sunndalsøra Iii;SN63420;01.06.2012 15:00;4,7
Sunndalsøra Iii;SN63420;01.06.2012 16:00;4,5
Sunndalsøra Iii;SN63420;01.06.2012 17:00;6,2
Sunndalsøra Iii;SN63420;01.06.2012 18:00;4,7
Sunndalsøra Iii;SN63420;01.06.2012 19:00;4,3
Sunndalsøra Iii;SN63420;01.06.2012 20:00;4,9
Sunndalsøra Iii;SN63420;01.06.2012 21:00;4,5
Sunndalsøra Iii;SN63420;01.06.2012 22:00;4,1
Sunndalsøra Iii;SN63420;01.06.2012 23:00;3,8
Sunndalsøra Iii;SN63420;02.06.2012 00:00;4
Sunndalsøra Iii;SN63420;02.06.2012 01:00;3,7
Sunndalsøra Iii;SN63420;02.06.2012 02:00;3,6
Sunndalsøra Iii;SN63420;02.06.2012 03:00;3,6
Sunndalsøra Iii;SN63420;02.06.2012 04:00;3,7
Sunndalsøra Iii;SN63420;02.06.2012 05:00;3,5
Sunndalsøra Iii;SN63420;02.06.2012 06:00;3,7
Sunndalsøra Iii;SN63420;02.06.2012 07:00;3,5
Sunndalsøra Iii;SN63420;02.06.2012 08:00;4,5
Sunndalsøra Iii;SN63420;02.06.2012 09:00;5,3
Sunndalsøra Iii;SN63420;02.06.2012 10:00;6,1
Sunndalsøra Iii;SN63420;02.06.2012 11:00;4,9
