,Navn,Stasjon,Tid(norsk normaltid),Lufttemperatur
0,Sunndalsøra Iii,SN63420,2012-06-01 01:15:00,2.7
1,Sunndalsøra Iii,SN63420,2012-06-01 01:45:00,2.5
2,Sunndalsøra Iii,SN63420,2012-06-01 02:15:00,2.3
3,Sunndalsøra Iii,SN63420,2012-06-01 02:45:00,2.4
4,Sunndalsøra Iii,SN63420,2012-06-01 03:15:00,2.5
5,Sunndalsøra Iii,SN63420,2012-06-01 03:45:00,2.5
6,Sunndalsøra Iii,SN63420,2012-06-01 04:15:00,2.5
7,Sunndalsøra Iii,SN63420,2012-06-01 04:45:00,2.7
8,Sunndalsøra Iii,SN63420,2012-06-01 05:15:00,2.9
9,Sunndalsøra Iii,SN63420,2012-06-01 05:45:00,3.0
10,Sunndalsøra Iii,SN63420,2012-06-01 06:15:00,3
11,Sunndalsøra Iii,SN63420,2012-06-01 06:45:00,3.6
12,Sunndalsøra Iii,SN63420,2012-06-01 07:15:00,4.2
13,Sunndalsøra Iii,SN63420,2012-06-01 07:45:00,4.6
14,Sunndalsøra Iii,SN63420,2012-06-01 08:15:00,4.9
15,Sunndalsøra Iii,SN63420,2012-06-01 08:45:00,4.6
16,Sunndalsøra Iii,SN63420,2012-06-01 09:15:00,4.2
17,Sunndalsøra Iii,SN63420,2012-06-01 09:45:00,4.9
18,Sunndalsøra Iii,SN63420,2012-06-01 10:15:00,5.6
19,Sunndalsøra Iii,SN63420,2012-06-01 10:45:00,6.0
20,Sunndalsøra Iii,SN63420,2012-06-01 11:15:00,6.5
21,Sunndalsøra Iii,SN63420,2012-06-01 11:45:00,6.0
22,Sunndalsøra Iii,SN63420,2012-06-01 12:15:00,5.4
23,Sunndalsøra Iii,SN63420,2012-06-01 12:45:00,6.5
24,Sunndalsøra Iii,SN63420,2012-06-01 13:15:00,7.6
25,Sunndalsøra Iii,SN63420,2012-06-01 13:45:00,7.0
26,Sunndalsøra Iii,SN63420,2012-06-01 14:15:00,6.5
27,Sunndalsøra Iii,SN63420,2012-06-01 14:45:00,5.6
28,Sunndalsøra Iii,SN63420,2012-06-01 15:15:00,4.7
29,Sunndalsøra Iii,SN63420,2012-06-01 15:45:00,4.6
30,Sunndalsøra Iii,SN63420,2012-06-01 16:15:00,4.5
31,Sunndalsøra Iii,SN63420,2012-06-01 16:45:00,5.3
32,Sunndalsøra Iii,SN63420,2012-06-01 17:15:00,6.2
33,Sunndalsøra Iii,SN63420,2012-06-01 17:45:00,5.5
34,Sunndalsøra Iii,SN63420,2012-06-01 18:15:00,4.7
35,Sunndalsøra Iii,SN63420,2012-06-01 18:45:00,4.5
36,Sunndalsøra Iii,SN63420,2012-06-01 19:15:00,4.3
37,Sunndalsøra Iii,SN63420,2012-06-01 19:45:00,4.6
38,Sunndalsøra Iii,SN63420,2012-06-01 20:15:00,4.9
39,Sunndalsøra Iii,SN63420,2012-06-01 20:45:00,4.7
40,Sunndalsøra Iii,SN63420,2012-06-01 21:15:00,4.5
41,Sunndalsøra Iii,SN63420,2012-06-01 21:45:00,4.3
42,Sunndalsøra Iii,SN63420,2012-06-01 22:15:00,4.1
43,Sunndalsøra Iii,SN63420,2012-06-01 22:45:00,3.9
44,Sunndalsøra Iii,SN63420,2012-06-01 23:15:00,3.8
45,Sunndalsøra Iii,SN63420,2012-06-01 23:45:00,3.9
46,Sunndalsøra Iii,SN63420,2012-06-02 00:15:00,4
47,Sunndalsøra Iii,SN63420,2012-06-02 00:45:00,3.9
48,Sunndalsøra Iii,SN63420,2012-06-02 01:15:00,3.7
49,Sunndalsøra Iii,SN63420,2012-06-02 01:45:00,3.7
50,Sunndalsøra Iii,SN63420,2012-06-02 02:15:00,3.6
51,Sunndalsøra Iii,SN63420,2012-06-02 02:45:00,3.6
52,Sunndalsøra Iii,SN63420,2012-06-02 03:15:00,3.6
53,Sunndalsøra Iii,SN63420,2012-06-02 03:45:00,3.7
54,Sunndalsøra Iii,SN63420,2012-06-02 04:15:00,3.7
55,Sunndalsøra Iii,SN63420,2012-06-02 04:45:00,3.6
56,Sunndalsøra Iii,SN63420,2012-06-02 05:15:00,3.5
57,Sunndalsøra Iii,SN63420,2012-06-02 05:45:00,3.6
58,Sunndalsøra Iii,SN63420,2012-06-02 06:15:00,3.7
59,Sunndalsøra Iii,SN63420,2012-06-02 06:45:00,3.6
60,Sunndalsøra Iii,SN63420,2012-06-02 07:15:00,3.5
61,Sunndalsøra Iii,SN63420,2012-06-02 07:45:00,4.0
62,Sunndalsøra Iii,SN63420,2012-06-02 08:15:00,4.5
63,Sunndalsøra Iii,SN63420,2012-06-02 08:45:00,4.9
64,Sunndalsøra Iii,SN63420,2012-06-02 09:15:00,5.3
65,Sunndalsøra Iii,SN63420,2012-06-02 09:45:00,5.7
66,Sunndalsøra Iii,SN63420,2012-06-02 10:15:00,6.1
67,Sunndalsøra Iii,SN63420,2012-06-02 10:45:00,5.5
68,Sunndalsøra Iii,SN63420,2012-06-02 11:15:00,4.9
69,Sunndalsøra Iii,SN63420,2012-06-02 11:45:00,5.4
70,Sunndalsøra Iii,SN63420,2012-06-02 12:15:00,5.9
71,Sunndalsøra Iii,SN63420,2012-06-02 12:45:00,6.2
72,Sunndalsøra Iii,SN63420,2012-06-02 13:15:00,6.6
73,Sunndalsøra Iii,SN63420,2012-06-02 13:45:00,6.9
74,Sunndalsøra Iii,SN63420,2012-06-02 14:15:00,7.3
75,Sunndalsøra Iii,SN63420,2012-06-02 14:45:00,6.4
76,Sunndalsøra Iii,SN63420,2012-06-02 15:15:00,5.5
77,Sunndalsøra Iii,SN63420,2012-06-02 15:45:00,5.6
78,Sunndalsøra Iii,SN63420,2012-06-02 16:15:00,5.7
79,Sunndalsøra Iii,SN63420,2012-06-02 16:45:00,6.1
80,Sunndalsøra Iii,SN63420,2012-06-02 17:15:00,6.4
81,Sunndalsøra Iii,SN63420,2012-06-02 17:45:00,5.9
82,Sunndalsøra Iii,SN63420,2012-06-02 18:15:00,5.4
83,Sunndalsøra Iii,SN63420,2012-06-02 18:45:00,5.7
84,Sunndalsøra Iii,SN63420,2012-06-02 19:15:00,5.9
85,Sunndalsøra Iii,SN63420,2012-06-02 19:45:00,6.2
86,Sunndalsøra Iii,SN63420,2012-06-02 20:15:00,6.4
87,Sunndalsøra Iii,SN63420,2012-06-02 20:45:00,6.2
88,Sunndalsøra Iii,SN63420,2012-06-02 21:15:00,5.9
89,Sunndalsøra Iii,SN63420,2012-06-02 21:45:00,6.1
90,Sunndalsøra Iii,SN63420,2012-06-02 22:15:00,6.3
91,Sunndalsøra Iii,SN63420,2012-06-02 22:45:00,5.9
92,Sunndalsøra Iii,SN63420,2012-06-02 23:15:00,5.6
93,Sunndalsøra Iii,SN63420,2012-06-02 23:45:00,5.7
94,Sunndalsøra Iii,SN63420,2012-06-03 00:15:00,5.8
95,Sunndalsøra Iii,SN63420,2012-06-03 00:45:00,5.8
96,Sunndalsøra Iii,SN63420,2012-06-03 01:15:00,5.9
97,Sunndalsøra Iii,SN63420,2012-06-03 01:45:00,6.0
98,Sunndalsøra Iii,SN63420,2012-06-03 02:15:00,6
99,Sunndalsøra Iii,SN63420,2012-06-03 02:45:00,6.0
100,Sunndalsøra Iii,SN63420,2012-06-03 03:15:00,6.1
101,Sunndalsøra Iii,SN63420,2012-06-03 03:45:00,6.1
102,Sunndalsøra Iii,SN63420,2012-06-03 04:15:00,6.1
103,Sunndalsøra Iii,SN63420,2012-06-03 04:45:00,6.3
104,Sunndalsøra Iii,SN63420,2012-06-03 05:15:00,6.6
105,Sunndalsøra Iii,SN63420,2012-06-03 05:45:00,6.6
106,Sunndalsøra Iii,SN63420,2012-06-03 06:15:00,6.6
107,Sunndalsøra Iii,SN63420,2012-06-03 06:45:00,6.8
108,Sunndalsøra Iii,SN63420,2012-06-03 07:15:00,7.1
109,Sunndalsøra Iii,SN63420,2012-06-03 07:45:00,7.3
110,Sunndalsøra Iii,SN63420,2012-06-03 08:15:00,7.6
111,Sunndalsøra Iii,SN63420,2012-06-03 08:45:00,7.6
112,Sunndalsøra Iii,SN63420,2012-06-03 09:15:00,7.6
113,Sunndalsøra Iii,SN63420,2012-06-03 09:45:00,7.8
114,Sunndalsøra Iii,SN63420,2012-06-03 10:15:00,8.1
115,Sunndalsøra Iii,SN63420,2012-06-03 10:45:00,7.9
116,Sunndalsøra Iii,SN63420,2012-06-03 11:15:00,7.7
117,Sunndalsøra Iii,SN63420,2012-06-03 11:45:00,7.8
118,Sunndalsøra Iii,SN63420,2012-06-03 12:15:00,8
119,Sunndalsøra Iii,SN63420,2012-06-03 12:45:00,7.8
120,Sunndalsøra Iii,SN63420,2012-06-03 13:15:00,7.7
121,Sunndalsøra Iii,SN63420,2012-06-03 13:45:00,7.6
122,Sunndalsøra Iii,SN63420,2012-06-03 14:15:00,7.5
123,Sunndalsøra Iii,SN63420,2012-06-03 14:45:00,7.5
124,Sunndalsøra Iii,SN63420,2012-06-03 15:15:00,7.5
125,Sunndalsøra Iii,SN63420,2012-06-03 15:45:00,7.5
126,Sunndalsøra Iii,SN63420,2012-06-03 16:15:00,7.6
127,Sunndalsøra Iii,SN63420,2012-06-03 16:45:00,7.7
128,Sunndalsøra Iii,SN63420,2012-06-03 17:15:00,7.8
129,Sunndalsøra Iii,SN63420,2012-06-03 17:45:00,7.8
130,Sunndalsøra Iii,SN63420,2012-06-03 18:15:00,7.7
131,Sunndalsøra Iii,SN63420,2012-06-03 18:45:00,7.6
132,Sunndalsøra Iii,SN63420,2012-06-03 19:15:00,7.5
133,Sunndalsøra Iii,SN63420,2012-06-03 19:45:00,7.5
134,Sunndalsøra Iii,SN63420,2012-06-03 20:15:00,7.5
135,Sunndalsøra Iii,SN63420,2012-06-03 20:45:00,7.3
136,Sunndalsøra Iii,SN63420,2012-06-03 21:15:00,7.2
137,Sunndalsøra Iii,SN63420,2012-06-03 21:45:00,7.2
138,Sunndalsøra Iii,SN63420,2012-06-03 22:15:00,7.1
139,Sunndalsøra Iii,SN63420,2012-06-03 22:45:00,7.2
140,Sunndalsøra Iii,SN63420,2012-06-03 23:15:00,7.3
141,Sunndalsøra Iii,SN63420,2012-06-03 23:45:00,7.2
142,Sunndalsøra Iii,SN63420,2012-06-04 00:15:00,7
143,Sunndalsøra Iii,SN63420,2012-06-04 00:45:00,7.0
144,Sunndalsøra Iii,SN63420,2012-06-04 01:15:00,6.9
145,Sunndalsøra Iii,SN63420,2012-06-04 01:45:00,6.7
146,Sunndalsøra Iii,SN63420,2012-06-04 02:15:00,6.5
147,Sunndalsøra Iii,SN63420,2012-06-04 02:45:00,6.5
148,Sunndalsøra Iii,SN63420,2012-06-04 03:15:00,6.4
149,Sunndalsøra Iii,SN63420,2012-06-04 03:45:00,6.4
150,Sunndalsøra Iii,SN63420,2012-06-04 04:15:00,6.4
151,Sunndalsøra Iii,SN63420,2012-06-04 04:45:00,6.3
152,Sunndalsøra Iii,SN63420,2012-06-04 05:15:00,6.3
153,Sunndalsøra Iii,SN63420,2012-06-04 05:45:00,6.3
154,Sunndalsøra Iii,SN63420,2012-06-04 06:15:00,6.4
155,Sunndalsøra Iii,SN63420,2012-06-04 06:45:00,6.5
156,Sunndalsøra Iii,SN63420,2012-06-04 07:15:00,6.6
157,Sunndalsøra Iii,SN63420,2012-06-04 07:45:00,6.8
158,Sunndalsøra Iii,SN63420,2012-06-04 08:15:00,6.9
159,Sunndalsøra Iii,SN63420,2012-06-04 08:45:00,7.2
160,Sunndalsøra Iii,SN63420,2012-06-04 09:15:00,7.5
161,Sunndalsøra Iii,SN63420,2012-06-04 09:45:00,8.0
162,Sunndalsøra Iii,SN63420,2012-06-04 10:15:00,8.5
163,Sunndalsøra Iii,SN63420,2012-06-04 10:45:00,8.9
164,Sunndalsøra Iii,SN63420,2012-06-04 11:15:00,9.3
165,Sunndalsøra Iii,SN63420,2012-06-04 11:45:00,9.8
166,Sunndalsøra Iii,SN63420,2012-06-04 12:15:00,10.3
167,Sunndalsøra Iii,SN63420,2012-06-04 12:45:00,10.6
168,Sunndalsøra Iii,SN63420,2012-06-04 13:15:00,10.8
169,Sunndalsøra Iii,SN63420,2012-06-04 13:45:00,10.9
170,Sunndalsøra Iii,SN63420,2012-06-04 14:15:00,11
171,Sunndalsøra Iii,SN63420,2012-06-04 14:45:00,11.3
172,Sunndalsøra Iii,SN63420,2012-06-04 15:15:00,11.6
173,Sunndalsøra Iii,SN63420,2012-06-04 15:45:00,12.4
174,Sunndalsøra Iii,SN63420,2012-06-04 16:15:00,13.2
175,Sunndalsøra Iii,SN63420,2012-06-04 16:45:00,13.1
176,Sunndalsøra Iii,SN63420,2012-06-04 17:15:00,12.9
177,Sunndalsøra Iii,SN63420,2012-06-04 17:45:00,13.4
178,Sunndalsøra Iii,SN63420,2012-06-04 18:15:00,14
179,Sunndalsøra Iii,SN63420,2012-06-04 18:45:00,13.2
180,Sunndalsøra Iii,SN63420,2012-06-04 19:15:00,12.3
181,Sunndalsøra Iii,SN63420,2012-06-04 19:45:00,11.8
182,Sunndalsøra Iii,SN63420,2012-06-04 20:15:00,11.2
